stage,metric,value,ci_lower,ci_upper
search,true_positives,127,,
search,false_negatives,64,,
search,false_positives,857,,
search,recall,0.6649214659685864,0.5953114119842712,0.7280281623160835
search,precision,0.1290650406504065,0.10954999908528172,0.15146512722646707
abstract,true_positives,125,,
abstract,false_negatives,2,,
abstract,false_positives,471,,
abstract,recall_in_search,0.984251968503937,0.9443972558906895,0.9956707347178022
abstract,recall_all_meta,0.6544502617801047,0.5845614147729978,0.718248662746382
abstract,precision,0.20973154362416108,0.1789570918250749,0.2442239613062851
fulltext,true_positives,64,,
fulltext,false_negatives,63,,
fulltext,false_positives,145,,
fulltext,additional_false_negatives,61,,
fulltext,recall_in_search,0.5039370078740157,0.418149182069332,0.5894936471226071
fulltext,recall_all_meta,0.33507853403141363,0.2719718376839165,0.40468858801572877
fulltext,precision,0.3062200956937799,0.24769545076839267,0.3717398475943335
fulltext_with_coords,true_positives,37,,
fulltext_with_coords,false_negatives,90,,
fulltext_with_coords,false_positives,75,,
fulltext_with_coords,recall_in_search,0.29133858267716534,0.21936666512736952,0.3755633876998658
fulltext_with_coords,recall_all_meta,0.193717277486911,0.14393487941975225,0.2555773397367318
fulltext_with_coords,precision,0.33035714285714285,0.25014641827449424,0.4218194385506877
