Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-50.0	-60.0	20.0	4.786443514208129	10112
PositiveTail 1a	-48.0	-62.0	12.0	4.786443514208129	
PositiveTail 1b	-48.0	-60.0	26.0	4.308210027190003	
PositiveTail 1c	-50.0	-52.0	14.0	4.000092668321525	
PositiveTail 2	0.0	48.0	20.0	4.786443514208129	15016
PositiveTail 2a	0.0	52.0	10.0	4.586750628081129	
PositiveTail 2b	-6.0	46.0	2.0	4.308210027190003	
PositiveTail 2c	-4.0	56.0	12.0	4.308210027190003	
PositiveTail 3	0.0	-56.0	28.0	4.586750628081129	5216
PositiveTail 3a	-4.0	-50.0	20.0	3.3414955926868624	
PositiveTail 3b	2.0	-62.0	34.0	2.982875085081975	
PositiveTail 3c	-8.0	-54.0	16.0	2.982875085081975	
PositiveTail 4	46.0	-66.0	-14.0	4.000092668321525	14064
PositiveTail 4a	46.0	-68.0	-4.0	3.6816689716840023	
PositiveTail 4b	42.0	-70.0	-14.0	3.6816689716840023	
PositiveTail 4c	60.0	-44.0	18.0	3.6816689716840023	
PositiveTail 5	-4.0	8.0	56.0	4.000092668321525	4384
PositiveTail 5a	4.0	6.0	50.0	2.982875085081975	
PositiveTail 5b	-2.0	8.0	44.0	2.982875085081975	
PositiveTail 5c	-4.0	12.0	60.0	2.982875085081975	
PositiveTail 6	10.0	-86.0	4.0	3.3414955926868624	4008
PositiveTail 6a	-4.0	-88.0	0.0	2.982875085081975	
PositiveTail 6b	6.0	-84.0	4.0	2.982875085081975	
PositiveTail 6c	-6.0	-86.0	0.0	2.982875085081975	
PositiveTail 7	-46.0	-32.0	16.0	2.982875085081975	216
PositiveTail 8	-48.0	36.0	-8.0	2.982875085081975	1800
PositiveTail 8a	-46.0	24.0	-10.0	2.6159969853329326	
PositiveTail 8b	-48.0	36.0	-12.0	2.6159969853329326	
PositiveTail 8c	-46.0	22.0	-4.0	2.235052050310867	
PositiveTail 9	62.0	-4.0	-12.0	2.6159969853329326	400
PositiveTail 10	-44.0	-34.0	52.0	2.6159969853329326	824
PositiveTail 10a	-36.0	-38.0	62.0	2.6159969853329326	
PositiveTail 10b	-44.0	-38.0	52.0	2.235052050310867	
PositiveTail 10c	-40.0	-32.0	58.0	2.235052050310867	
PositiveTail 11	-54.0	6.0	24.0	2.6159969853329326	840
PositiveTail 11a	-48.0	10.0	28.0	2.235052050310867	
PositiveTail 12	-32.0	-54.0	56.0	2.235052050310867	96
PositiveTail 13	-32.0	12.0	-10.0	2.235052050310867	104
PositiveTail 14	-48.0	8.0	48.0	2.235052050310867	456
PositiveTail 15	-10.0	10.0	0.0	2.235052050310867	272
PositiveTail 16	4.0	22.0	40.0	2.235052050310867	304
PositiveTail 17	38.0	-34.0	64.0	2.235052050310867	224
PositiveTail 18	-24.0	-52.0	-16.0	2.235052050310867	544
PositiveTail 19	-20.0	-82.0	44.0	2.235052050310867	336
PositiveTail 20	38.0	-30.0	44.0	1.82450994411355	80
