Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-48.0	-76.0	4.0	5.134794279938072	6608
PositiveTail 1a	-46.0	-66.0	-2.0	4.393761833577517	
PositiveTail 1b	-38.0	-78.0	2.0	3.8507995161691104	
PositiveTail 1c	-54.0	-70.0	12.0	3.5721342632456845	
PositiveTail 2	46.0	-70.0	-4.0	4.96590534507145	24888
PositiveTail 2a	50.0	-62.0	4.0	4.959048295810387	
PositiveTail 2b	50.0	-60.0	-4.0	4.959048295810387	
PositiveTail 2c	42.0	-70.0	-4.0	4.959048295810387	
PositiveTail 3	-54.0	-50.0	18.0	4.959048295810387	5704
PositiveTail 3a	-62.0	-46.0	12.0	4.393761833577517	
PositiveTail 3b	-54.0	-46.0	8.0	4.393761833577517	
PositiveTail 3c	-54.0	-56.0	22.0	3.8507995161691104	
PositiveTail 4	38.0	26.0	-2.0	4.787503338798949	11464
PositiveTail 4a	48.0	8.0	36.0	3.8507995161691104	
PositiveTail 4b	52.0	14.0	24.0	3.8507995161691104	
PositiveTail 4c	48.0	10.0	38.0	3.8507995161691104	
PositiveTail 5	-36.0	18.0	-4.0	4.612523503456277	6240
PositiveTail 5a	-42.0	24.0	-14.0	4.125500947010582	
PositiveTail 5b	-32.0	16.0	2.0	3.5721342632456845	
PositiveTail 5c	-42.0	22.0	-10.0	3.272835943845569	
PositiveTail 6	-42.0	-58.0	-20.0	4.125500947010582	3296
PositiveTail 6a	-34.0	-54.0	-16.0	3.8507995161691104	
PositiveTail 6b	-42.0	-62.0	-22.0	3.8507995161691104	
PositiveTail 6c	-34.0	-58.0	-18.0	3.5721342632456845	
PositiveTail 7	2.0	58.0	10.0	3.272835943845569	1168
PositiveTail 7a	4.0	50.0	12.0	2.6284607283252646	
PositiveTail 7b	-4.0	60.0	12.0	2.290677083696876	
PositiveTail 7c	8.0	54.0	12.0	2.290677083696876	
PositiveTail 8	-30.0	2.0	46.0	3.272835943845569	1800
PositiveTail 8a	-26.0	-2.0	56.0	3.272835943845569	
PositiveTail 8b	-32.0	-2.0	46.0	2.9576517987522215	
PositiveTail 8c	-34.0	0.0	54.0	2.6284607283252646	
PositiveTail 9	-4.0	-88.0	2.0	3.272835943845569	640
PositiveTail 9a	-6.0	-92.0	12.0	1.9503290492174745	
PositiveTail 9b	-4.0	-88.0	-4.0	1.9503290492174745	
PositiveTail 9c	-2.0	-92.0	12.0	1.9503290492174745	
PositiveTail 10	-52.0	30.0	8.0	3.272835943845569	680
PositiveTail 10a	-48.0	22.0	14.0	2.290677083696876	
PositiveTail 10b	-52.0	28.0	0.0	1.9503290492174745	
PositiveTail 10c	-50.0	20.0	4.0	1.9503290492174745	
PositiveTail 11	-36.0	-38.0	48.0	2.9576517987522215	272
PositiveTail 12	26.0	0.0	-20.0	2.9576517987522215	344
PositiveTail 13	-6.0	42.0	-8.0	2.9576517987522215	760
PositiveTail 13a	-2.0	48.0	-12.0	2.6284607283252646	
PositiveTail 14	14.0	-18.0	2.0	2.6284607283252646	144
PositiveTail 15	-54.0	8.0	-22.0	2.6284607283252646	560
PositiveTail 15a	-54.0	10.0	-30.0	1.9503290492174745	
PositiveTail 15b	-48.0	8.0	-24.0	1.9503290492174745	
PositiveTail 16	-2.0	10.0	52.0	2.6284607283252646	528
PositiveTail 16a	6.0	8.0	50.0	2.290677083696876	
PositiveTail 17	30.0	-90.0	24.0	2.6284607283252646	208
PositiveTail 18	-2.0	-52.0	30.0	2.6284607283252646	472
PositiveTail 18a	-6.0	-60.0	28.0	1.9503290492174745	
PositiveTail 19	-8.0	-14.0	34.0	2.6284607283252646	320
PositiveTail 20	36.0	-32.0	46.0	2.6284607283252646	472
PositiveTail 20a	38.0	-28.0	54.0	2.6284607283252646	
PositiveTail 20b	34.0	-32.0	42.0	2.290677083696876	
PositiveTail 20c	38.0	-30.0	58.0	2.290677083696876	
PositiveTail 21	-12.0	-32.0	-6.0	2.6284607283252646	152
PositiveTail 22	-24.0	0.0	-14.0	2.6284607283252646	504
PositiveTail 22a	-20.0	-6.0	-18.0	2.290677083696876	
PositiveTail 22b	-20.0	0.0	-12.0	2.290677083696876	
PositiveTail 23	-24.0	-54.0	-12.0	2.6284607283252646	128
PositiveTail 24	44.0	-66.0	20.0	2.6284607283252646	216
PositiveTail 24a	42.0	-68.0	28.0	2.290677083696876	
PositiveTail 25	30.0	-4.0	52.0	2.6284607283252646	240
PositiveTail 26	30.0	-88.0	16.0	2.290677083696876	192
PositiveTail 27	-48.0	10.0	-12.0	2.290677083696876	104
PositiveTail 28	-16.0	6.0	-6.0	2.290677083696876	184
PositiveTail 29	8.0	-90.0	24.0	2.290677083696876	104
PositiveTail 30	54.0	-40.0	48.0	2.290677083696876	80
PositiveTail 31	-40.0	6.0	32.0	1.9503290492174745	112
