id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13
15488424-15488424_1	0	0	0	0	0	0	0	0	0	0	0	0	0
15488424-15488424_2	0	0	0	0	0	0	0	0	0	0	0	0	0
15488424-15488424_3	0	0	0	0	0	0	0	0	0	0	0	0	0
15488424-15488424_4	0	0	0	0	0	0	0	0	0	0	0	0	0
17071110-17071110_1	0	0	0	0	0	0	0	0	0	0	0	0	0
17071110-17071110_2	0	0	0	0	0	0	0	0	0	0	0	0	0
17071110-17071110_3	0	0	0	0	0	0	0	0	0	0	0	0	0
17071110-17071110_4	0	1	0	0	0	0	0	0	1	0	0	0	0
17964185-17964185_1	0	0	0	0	0	0	0	0	0	0	0	0	0
18486491-18486491_1	0	0	0	0	0	0	0	0	0	0	0	0	0
18537114-18537114_1	0	0	0	0	0	0	0	0	0	0	0	0	0
18633856-18633856_1	0	1	0	0	0	0	0	0	1	0	0	0	0
18633856-18633856_2	0	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_1	0	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_2	0	1	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_3	0	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_4	0	0	0	0	0	0	0	0	0	0	0	0	0
20188182-20188182_1	0	0	0	0	0	0	0	0	0	0	0	0	0
20188182-20188182_2	0	0	0	0	0	0	0	0	0	0	0	0	0
20188190-20188190_1	0	0	0	0	0	0	0	0	0	0	0	0	0
20188190-20188190_2	0	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_1	2	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_2	0	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_3	0	0	0	0	0	0	0	0	0	0	0	0	0
22726841-22726841_1	0	0	0	0	0	0	0	0	0	0	0	0	0
22726841-22726841_2	0	0	0	0	0	0	0	0	0	0	0	0	0
22726841-22726841_3	0	0	0	0	0	0	0	0	0	0	0	0	0
22726841-22726841_4	0	0	0	0	0	0	0	0	0	0	0	0	0
22726841-22726841_5	1	0	0	0	0	0	0	0	0	0	0	0	0
22841755-22841755_1	0	0	0	0	0	0	0	0	0	0	0	0	0
22841755-22841755_2	0	0	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_2	0	0	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_3	0	0	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_4	2	1	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_6	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_1	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_2	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_3	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_4	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_5	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_6	0	0	0	0	0	0	0	0	0	0	0	0	0
23599165-23599165_7	0	0	0	0	0	0	0	0	0	0	0	0	0
26567160-26567160_1	0	0	0	0	0	0	0	0	1	0	0	0	0
26567160-26567160_2	0	0	0	0	0	0	0	0	1	0	0	0	0
26567160-26567160_3	0	0	0	0	1	0	0	0	1	0	0	0	0
26567160-26567160_4	0	0	0	0	0	0	0	0	0	0	0	0	0
26892859-26892859_1	0	1	0	0	0	0	0	0	0	0	0	0	0
26892859-26892859_2	1	1	0	0	1	0	0	0	0	0	0	0	0
26892859-26892859_3	1	1	0	0	0	0	0	0	0	0	0	0	0
29039129-29039129_1	0	0	0	0	0	0	0	0	0	0	0	0	0
30649548-30649548_1	0	0	0	0	0	0	0	0	0	0	0	0	0
30649548-30649548_2	0	1	0	0	0	0	0	0	0	0	0	0	0
30649548-30649548_3	0	0	0	0	0	0	0	0	0	0	0	0	0
30649548-30649548_4	3	0	0	0	1	0	0	0	0	0	0	0	0
30649548-30649548_5	1	0	0	0	0	0	0	0	0	0	0	0	0
30649548-30649548_6	0	1	0	0	0	0	0	0	0	0	0	0	0
31056647-31056647_1	0	0	0	0	0	0	0	0	0	0	0	0	0
31056647-31056647_2	0	0	0	0	0	0	0	0	0	0	0	0	0
31056647-31056647_3	0	0	1	0	0	0	0	0	0	0	0	0	0
