id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20
14568477-14568477_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14568477-14568477_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14568477-14568477_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14568477-14568477_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15528097-15528097_1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15528097-15528097_2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15528097-15528097_3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15528097-15528097_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15528097-15528097_5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15808992-15808992_2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16035037-16035037_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16035037-16035037_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16406606-16406606_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18514546-18514546_2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
19107754-19107754_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19107754-19107754_5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19944083-19944083_1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
19944083-19944083_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19944083-19944083_3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20045478-20045478_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20045478-20045478_4	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
