Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-46.0	-58.0	20.0	4.786443514208129	10112
PositiveTail 1a	-48.0	-62.0	12.0	4.786443514208129	
PositiveTail 1b	-50.0	-56.0	18.0	4.786443514208129	
PositiveTail 1c	-50.0	-64.0	16.0	4.786443514208129	
PositiveTail 2	-2.0	54.0	20.0	4.786443514208129	15016
PositiveTail 2a	0.0	52.0	10.0	4.586750628081129	
PositiveTail 2b	-6.0	44.0	0.0	4.308210027190003	
PositiveTail 2c	-8.0	54.0	8.0	4.308210027190003	
PositiveTail 3	-2.0	-58.0	28.0	4.586750628081129	5216
PositiveTail 3a	-2.0	-56.0	20.0	3.3414955926868624	
PositiveTail 3b	6.0	-56.0	30.0	3.3414955926868624	
PositiveTail 3c	2.0	-62.0	34.0	2.982875085081975	
PositiveTail 4	-4.0	8.0	56.0	4.000092668321525	4384
PositiveTail 4a	0.0	6.0	46.0	2.982875085081975	
PositiveTail 4b	-4.0	12.0	60.0	2.982875085081975	
PositiveTail 4c	-2.0	8.0	44.0	2.982875085081975	
PositiveTail 5	46.0	-66.0	-14.0	4.000092668321525	14064
PositiveTail 5a	46.0	-68.0	-4.0	3.6816689716840023	
PositiveTail 5b	40.0	-66.0	-12.0	3.6816689716840023	
PositiveTail 5c	54.0	-62.0	10.0	3.6816689716840023	
PositiveTail 6	10.0	-86.0	4.0	3.3414955926868624	4008
PositiveTail 6a	-6.0	-86.0	0.0	2.982875085081975	
PositiveTail 6b	6.0	-84.0	4.0	2.982875085081975	
PositiveTail 6c	-2.0	-80.0	4.0	2.982875085081975	
PositiveTail 7	-48.0	36.0	-8.0	2.982875085081975	1800
PositiveTail 7a	-46.0	24.0	-10.0	2.6159969853329326	
PositiveTail 7b	-48.0	30.0	-4.0	1.82450994411355	
PositiveTail 7c	-40.0	32.0	-12.0	1.82450994411355	
PositiveTail 8	-46.0	-32.0	16.0	2.982875085081975	216
PositiveTail 9	-44.0	-34.0	52.0	2.6159969853329326	824
PositiveTail 9a	-36.0	-38.0	62.0	2.6159969853329326	
PositiveTail 9b	-44.0	-34.0	56.0	2.235052050310867	
PositiveTail 9c	-40.0	-40.0	64.0	1.82450994411355	
PositiveTail 10	-54.0	6.0	24.0	2.6159969853329326	840
PositiveTail 10a	-48.0	10.0	28.0	2.235052050310867	
PositiveTail 11	62.0	-4.0	-12.0	2.6159969853329326	400
PositiveTail 12	-32.0	-54.0	56.0	2.235052050310867	96
PositiveTail 13	-24.0	-52.0	-16.0	2.235052050310867	544
PositiveTail 14	-20.0	-82.0	44.0	2.235052050310867	336
PositiveTail 15	-48.0	8.0	48.0	2.235052050310867	456
PositiveTail 16	-32.0	12.0	-10.0	2.235052050310867	104
PositiveTail 17	4.0	22.0	40.0	2.235052050310867	304
PositiveTail 18	-10.0	10.0	0.0	2.235052050310867	272
PositiveTail 19	38.0	-34.0	64.0	2.235052050310867	224
PositiveTail 20	38.0	-30.0	44.0	1.82450994411355	80
