Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	32.0	22.0	2.0	4.7686686251752715	16048
PositiveTail 1a	40.0	24.0	2.0	4.7686686251752715	
PositiveTail 1b	30.0	22.0	0.0	4.7686686251752715	
PositiveTail 1c	38.0	20.0	-8.0	4.625417069339995	
PositiveTail 2	-46.0	-56.0	20.0	4.300057783183236	8112
PositiveTail 2a	-46.0	-64.0	12.0	3.741509534220396	
PositiveTail 2b	-48.0	-62.0	28.0	3.1624211169241754	
PositiveTail 2c	-46.0	-70.0	20.0	3.1624211169241754	
PositiveTail 3	0.0	-58.0	20.0	4.300057783183236	4952
PositiveTail 3a	-6.0	-58.0	26.0	3.741509534220396	
PositiveTail 3b	-2.0	-58.0	34.0	3.1624211169241754	
PositiveTail 3c	0.0	-60.0	14.0	3.1624211169241754	
PositiveTail 4	-8.0	52.0	-4.0	4.300057783183236	12152
PositiveTail 4a	-6.0	42.0	0.0	4.014741812583797	
PositiveTail 4b	-6.0	50.0	-8.0	4.014741812583797	
PositiveTail 4c	-4.0	44.0	-2.0	4.014741812583797	
PositiveTail 5	-4.0	8.0	48.0	4.300057783183236	5216
PositiveTail 5a	-8.0	14.0	52.0	2.8533616563481563	
PositiveTail 5b	6.0	26.0	42.0	2.8533616563481563	
PositiveTail 5c	-2.0	32.0	42.0	2.8533616563481563	
PositiveTail 6	-36.0	18.0	-4.0	4.300057783183236	5816
PositiveTail 6a	-26.0	18.0	2.0	3.451705723847981	
PositiveTail 6b	-40.0	18.0	-10.0	3.451705723847981	
PositiveTail 6c	-34.0	20.0	4.0	3.1624211169241754	
PositiveTail 7	58.0	-4.0	-10.0	3.741509534220396	1328
PositiveTail 7a	58.0	2.0	-16.0	2.8533616563481563	
PositiveTail 7b	58.0	-8.0	-18.0	2.5404042814626484	
PositiveTail 8	54.0	-52.0	22.0	3.741509534220396	4880
PositiveTail 8a	58.0	-40.0	20.0	3.741509534220396	
PositiveTail 8b	60.0	-48.0	20.0	3.451705723847981	
PositiveTail 8c	58.0	-36.0	20.0	3.1624211169241754	
PositiveTail 9	48.0	-64.0	8.0	3.741509534220396	3576
PositiveTail 9a	52.0	-70.0	4.0	3.451705723847981	
PositiveTail 9b	46.0	-68.0	12.0	3.1624211169241754	
PositiveTail 9c	46.0	-64.0	-4.0	3.1624211169241754	
PositiveTail 10	46.0	12.0	26.0	3.451705723847981	712
PositiveTail 10a	46.0	6.0	32.0	2.198681812280583	
PositiveTail 11	26.0	-6.0	-14.0	3.451705723847981	2616
PositiveTail 11a	18.0	-2.0	-16.0	2.8533616563481563	
PositiveTail 11b	24.0	-6.0	-20.0	2.8533616563481563	
PositiveTail 11c	24.0	-10.0	-12.0	2.8533616563481563	
PositiveTail 12	-50.0	4.0	26.0	3.1624211169241754	1760
PositiveTail 12a	-42.0	6.0	32.0	2.5404042814626484	
PositiveTail 12b	-40.0	-2.0	38.0	2.5404042814626484	
PositiveTail 12c	-50.0	2.0	30.0	2.198681812280583	
PositiveTail 13	20.0	-52.0	-12.0	2.8533616563481563	976
PositiveTail 13a	32.0	-50.0	-14.0	2.5404042814626484	
PositiveTail 13b	16.0	-50.0	-12.0	2.198681812280583	
PositiveTail 13c	22.0	-54.0	-16.0	2.198681812280583	
PositiveTail 14	-46.0	-40.0	48.0	2.8533616563481563	576
PositiveTail 14a	-54.0	-38.0	46.0	1.8412413879089262	
PositiveTail 14b	-46.0	-38.0	40.0	1.8412413879089262	
PositiveTail 14c	-44.0	-36.0	50.0	1.8412413879089262	
PositiveTail 15	-38.0	52.0	6.0	2.8533616563481563	936
PositiveTail 15a	-42.0	44.0	-2.0	2.198681812280583	
PositiveTail 15b	-36.0	46.0	4.0	2.198681812280583	
PositiveTail 15c	-36.0	52.0	10.0	2.198681812280583	
PositiveTail 16	56.0	2.0	-2.0	2.5404042814626484	376
PositiveTail 16a	60.0	-6.0	2.0	1.8412413879089262	
PositiveTail 17	26.0	-2.0	58.0	2.5404042814626484	328
PositiveTail 18	-26.0	4.0	58.0	2.5404042814626484	1104
PositiveTail 18a	-24.0	-4.0	54.0	2.198681812280583	
PositiveTail 18b	-26.0	0.0	64.0	2.198681812280583	
PositiveTail 18c	-30.0	-4.0	54.0	1.8412413879089262	
PositiveTail 19	-28.0	-62.0	48.0	2.5404042814626484	1128
PositiveTail 19a	-26.0	-70.0	38.0	2.5404042814626484	
PositiveTail 19b	-26.0	-62.0	46.0	2.5404042814626484	
PositiveTail 19c	-22.0	-70.0	38.0	2.5404042814626484	
PositiveTail 20	56.0	-42.0	44.0	2.5404042814626484	136
PositiveTail 21	-46.0	34.0	20.0	2.5404042814626484	96
PositiveTail 22	-24.0	-54.0	-14.0	2.198681812280583	184
PositiveTail 23	48.0	26.0	2.0	2.198681812280583	144
PositiveTail 24	50.0	-42.0	48.0	2.198681812280583	88
PositiveTail 25	50.0	22.0	8.0	2.198681812280583	88
PositiveTail 26	-54.0	-2.0	-14.0	2.198681812280583	88
PositiveTail 27	54.0	-56.0	-10.0	1.8412413879089262	136
