Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	38.0	24.0	-6.0	8.128256869134171	36896
PositiveTail 1a	48.0	26.0	0.0	7.3507914899560545	
PositiveTail 1b	46.0	12.0	26.0	6.830832244441034	
PositiveTail 1c	32.0	18.0	-2.0	6.830832244441034	
PositiveTail 2	-50.0	-58.0	24.0	8.076191472233084	74576
PositiveTail 2a	-48.0	-68.0	12.0	7.53505563055444	
PositiveTail 2b	-38.0	20.0	-4.0	7.188084592311355	
PositiveTail 2c	-48.0	-70.0	4.0	7.01628037196114	
PositiveTail 3	-2.0	-58.0	28.0	7.708447931396596	13368
PositiveTail 3a	0.0	-56.0	42.0	4.83848802631632	
PositiveTail 3b	-10.0	-58.0	16.0	3.486695119805204	
PositiveTail 3c	0.0	-40.0	42.0	3.006033748576842	
PositiveTail 4	54.0	-52.0	20.0	7.188084592311355	65744
PositiveTail 4a	58.0	-4.0	-10.0	6.830832244441034	
PositiveTail 4b	46.0	-70.0	-4.0	6.644923625144989	
PositiveTail 4c	56.0	-48.0	12.0	6.452661364729718	
PositiveTail 5	0.0	16.0	52.0	6.644923625144989	44992
PositiveTail 5a	-4.0	52.0	0.0	5.870528948733263	
PositiveTail 5b	0.0	50.0	20.0	5.870528948733263	
PositiveTail 5c	0.0	10.0	58.0	5.870528948733263	
PositiveTail 6	-46.0	6.0	30.0	4.620932374880319	9600
PositiveTail 6a	-34.0	-6.0	52.0	4.179217176976457	
PositiveTail 6b	-28.0	-6.0	58.0	3.9514928893464423	
PositiveTail 6c	-42.0	6.0	32.0	3.7188288212322087	
PositiveTail 7	22.0	-4.0	-16.0	3.9514928893464423	2624
PositiveTail 7a	18.0	2.0	-6.0	2.25307716307247	
PositiveTail 7b	26.0	6.0	-14.0	1.9947711670906951	
PositiveTail 8	-2.0	-20.0	40.0	3.7188288212322087	2448
PositiveTail 8a	-8.0	-14.0	40.0	2.7595812328039675	
PositiveTail 8b	4.0	-14.0	36.0	2.7595812328039675	
PositiveTail 9	-6.0	-12.0	4.0	2.7595812328039675	488
PositiveTail 9a	-14.0	-16.0	6.0	1.733644997033605	
PositiveTail 10	-14.0	-90.0	2.0	2.50959921846064	96
PositiveTail 11	-46.0	-32.0	16.0	2.25307716307247	136
PositiveTail 11a	-40.0	-28.0	10.0	1.9947711670906951	
PositiveTail 12	28.0	-78.0	-28.0	1.9947711670906951	96
