id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12
14568477-14568477_analysis_0	0	0	0	1	0	1	0	0	0	0	0	0
14568477-14568477_analysis_1	0	1	0	0	0	0	0	0	0	0	0	0
14568477-14568477_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
14568477-14568477_analysis_3	0	0	0	2	0	0	0	0	0	0	0	0
14980212-14980212_analysis_0	1	2	0	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_1	2	2	0	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_3	4	1	0	1	0	0	0	0	0	0	0	0
15006683-15006683_analysis_0	1	2	0	0	1	0	0	0	0	0	0	0
15488424-15488424_analysis_0	1	1	0	0	0	1	0	0	0	0	0	0
15488424-15488424_analysis_1	2	1	0	0	0	1	0	0	0	0	0	0
15488424-15488424_analysis_2	0	0	2	0	1	0	0	0	0	0	0	0
15488424-15488424_analysis_3	0	1	0	0	1	0	0	0	0	0	0	0
15528097-15528097_analysis_0	0	1	0	0	2	0	0	0	0	0	0	0
15808992-15808992_analysis_0	0	0	0	1	0	0	0	0	0	0	0	0
15808992-15808992_analysis_1	0	1	1	1	1	0	0	0	0	0	0	0
16035037-16035037_analysis_0	0	0	1	1	1	0	0	0	0	0	0	0
16035037-16035037_analysis_1	0	2	0	1	0	0	0	0	0	0	0	0
16035037-16035037_analysis_2	2	0	0	1	0	0	0	0	0	0	0	0
16035037-16035037_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
16035037-16035037_analysis_4	0	1	0	0	1	0	0	0	0	0	0	0
16055351-16055351_analysis_0	0	1	0	2	0	0	0	0	0	0	0	0
16055351-16055351_analysis_1	0	1	0	0	0	0	0	0	0	0	0	0
16055351-16055351_analysis_2	1	0	1	1	0	0	0	0	0	0	0	0
16055351-16055351_analysis_3	1	1	0	0	1	0	0	0	0	0	0	0
16055351-16055351_analysis_4	0	0	1	0	0	0	0	0	0	0	0	0
16055351-16055351_analysis_5	0	1	0	0	0	0	0	0	0	0	0	0
16055351-16055351_analysis_6	0	0	1	1	1	0	0	0	0	0	0	0
16122944-16122944_analysis_0	0	2	1	0	0	0	0	0	0	0	0	0
16122944-16122944_analysis_1	0	1	0	0	1	0	0	0	0	0	0	0
16122944-16122944_analysis_2	0	1	0	1	0	0	0	0	0	0	0	0
16122944-16122944_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0
16122944-16122944_analysis_4	1	0	0	1	1	0	0	0	0	0	0	0
16171833-16171833_analysis_0	0	0	0	0	2	0	0	0	0	0	0	0
16171833-16171833_analysis_1	1	2	0	2	0	0	0	0	0	0	0	0
16171833-16171833_analysis_2	0	0	0	0	1	0	0	0	0	0	0	0
16171833-16171833_analysis_3	0	2	0	1	1	0	0	0	0	0	0	0
16171833-16171833_analysis_4	0	0	0	0	1	0	0	0	0	0	0	0
16171833-16171833_analysis_5	0	1	0	0	0	0	0	0	0	0	0	0
16406606-16406606_analysis_0	0	2	0	1	0	0	0	0	0	0	0	0
16406606-16406606_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
16759672-16759672_analysis_0	0	1	0	0	1	0	0	0	0	0	0	0
16759672-16759672_analysis_1	0	0	0	2	0	0	0	0	0	0	0	0
16759672-16759672_analysis_2	0	0	0	2	0	0	0	0	0	0	0	0
17071110-17071110_analysis_0	1	1	0	2	0	0	0	0	0	0	0	0
17071110-17071110_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
17071110-17071110_analysis_2	2	2	0	1	0	0	0	0	0	0	0	0
17408704-17408704_analysis_0	1	0	0	0	0	0	1	0	0	0	0	0
17408704-17408704_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0
17408704-17408704_analysis_2	1	1	0	1	0	0	0	0	0	0	0	0
17627852-17627852_analysis_0	0	1	0	2	0	0	0	0	0	0	0	0
17627852-17627852_analysis_1	0	1	0	2	0	0	0	0	0	0	0	0
17627852-17627852_analysis_2	0	2	0	0	1	0	0	0	0	0	0	0
17627852-17627852_analysis_3	0	0	1	0	1	0	0	0	0	0	0	0
17964185-17964185_analysis_0	1	2	0	0	1	0	1	0	0	0	0	0
18486491-18486491_analysis_0	1	2	1	1	1	1	0	0	0	0	0	0
18486491-18486491_analysis_1	1	3	0	2	1	0	0	0	0	0	0	0
18486491-18486491_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0
