Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-50.0	-60.0	26.0	7.714430093205171	63880
PositiveTail 1a	-48.0	-66.0	10.0	7.5760100239281885	
PositiveTail 1b	-48.0	-64.0	18.0	7.274285754429238	
PositiveTail 1c	-48.0	-70.0	4.0	7.274285754429238	
PositiveTail 2	0.0	-58.0	30.0	7.672281817204372	10936
PositiveTail 2a	0.0	-52.0	42.0	4.374703513033606	
PositiveTail 2b	-6.0	-44.0	36.0	4.139219331629543	
PositiveTail 2c	-6.0	-62.0	14.0	2.6433119345158542	
PositiveTail 3	38.0	24.0	-6.0	7.5760100239281885	24736
PositiveTail 3a	48.0	26.0	0.0	6.912942773993445	
PositiveTail 3b	46.0	12.0	26.0	6.52813301385924	
PositiveTail 3c	44.0	24.0	-4.0	6.327914458081094	
PositiveTail 4	58.0	-50.0	16.0	7.420255799965449	50632
PositiveTail 4a	52.0	-56.0	16.0	6.912942773993445	
PositiveTail 4b	54.0	-54.0	8.0	6.724605597486811	
PositiveTail 4c	52.0	-62.0	10.0	6.724605597486811	
PositiveTail 5	0.0	50.0	20.0	5.914232760514364	40568
PositiveTail 5a	4.0	56.0	12.0	5.914232760514364	
PositiveTail 5b	-2.0	52.0	20.0	5.914232760514364	
PositiveTail 5c	-4.0	14.0	54.0	5.706166509901935	
PositiveTail 6	-20.0	-6.0	-18.0	5.280098958022788	5208
PositiveTail 6a	-20.0	2.0	-14.0	3.659949031914096	
PositiveTail 6b	-10.0	2.0	0.0	3.16152742131106	
PositiveTail 6c	-16.0	4.0	-8.0	3.16152742131106	
PositiveTail 7	18.0	-92.0	0.0	5.058857619666242	7080
PositiveTail 7a	22.0	-86.0	-4.0	4.374703513033606	
PositiveTail 7b	14.0	-86.0	0.0	3.9013776339701938	
PositiveTail 7c	26.0	-92.0	4.0	3.9013776339701938	
PositiveTail 8	-34.0	-6.0	52.0	4.374703513033606	4080
PositiveTail 8a	-22.0	0.0	58.0	3.9013776339701938	
PositiveTail 8b	-28.0	-6.0	58.0	3.9013776339701938	
PositiveTail 8c	-26.0	-4.0	50.0	3.4131197096077703	
PositiveTail 9	24.0	-6.0	-16.0	4.374703513033606	2744
PositiveTail 10	-4.0	-16.0	44.0	3.659949031914096	2280
PositiveTail 10a	4.0	-18.0	42.0	3.4131197096077703	
PositiveTail 10b	-2.0	-20.0	36.0	2.905368285633985	
PositiveTail 10c	-8.0	-14.0	40.0	2.6433119345158542	
PositiveTail 11	-48.0	4.0	32.0	3.4131197096077703	2024
PositiveTail 11a	-54.0	12.0	28.0	2.905368285633985	
PositiveTail 11b	-42.0	4.0	38.0	2.6433119345158542	
PositiveTail 11c	-38.0	6.0	30.0	2.104868175288852	
PositiveTail 12	-8.0	-12.0	8.0	2.6433119345158542	360
PositiveTail 12a	-2.0	-12.0	2.0	2.104868175288852	
PositiveTail 12b	-12.0	-8.0	6.0	1.8298817653472814	
PositiveTail 13	-24.0	-52.0	-14.0	2.6433119345158542	344
PositiveTail 14	26.0	-60.0	54.0	2.375645094252258	344
PositiveTail 14a	18.0	-62.0	56.0	2.104868175288852	
PositiveTail 14b	28.0	-62.0	50.0	2.104868175288852	
PositiveTail 14c	24.0	-62.0	60.0	1.8298817653472814	
PositiveTail 15	-34.0	-28.0	58.0	2.375645094252258	80
PositiveTail 16	10.0	-18.0	4.0	2.375645094252258	128
PositiveTail 17	34.0	52.0	-8.0	2.375645094252258	80
PositiveTail 18	28.0	-78.0	-28.0	2.104868175288852	96
