Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-4.0	44.0	-2.0	5.650451241492167	16520
PositiveTail 1a	0.0	52.0	8.0	4.301026314943346	
PositiveTail 1b	-4.0	56.0	18.0	4.301026314943346	
PositiveTail 1c	2.0	52.0	4.0	3.9889533149625946	
PositiveTail 2	-6.0	-58.0	26.0	4.897391319190151	7872
PositiveTail 2a	-6.0	-54.0	18.0	4.897391319190151	
PositiveTail 2b	-4.0	-54.0	32.0	4.576636653844102	
PositiveTail 2c	0.0	-54.0	22.0	4.301026314943346	
PositiveTail 3	-48.0	-64.0	28.0	4.301026314943346	4864
PositiveTail 3a	-50.0	-56.0	22.0	3.9889533149625946	
PositiveTail 3b	-42.0	-64.0	34.0	3.3104919243426814	
PositiveTail 3c	-54.0	-68.0	32.0	2.5691892873707847	
PositiveTail 4	0.0	16.0	-4.0	3.9889533149625946	5048
PositiveTail 4a	4.0	6.0	0.0	3.6511521300334007	
PositiveTail 4b	8.0	12.0	-10.0	3.6511521300334007	
PositiveTail 4c	8.0	6.0	0.0	3.3104919243426814	
PositiveTail 5	0.0	20.0	58.0	3.6511521300334007	4336
PositiveTail 5a	-2.0	10.0	54.0	2.9458109905054792	
PositiveTail 5b	6.0	20.0	42.0	2.9458109905054792	
PositiveTail 5c	0.0	14.0	62.0	2.5691892873707847	
PositiveTail 6	50.0	-26.0	-4.0	3.6511521300334007	1824
PositiveTail 6a	54.0	-30.0	2.0	2.9458109905054792	
PositiveTail 6b	50.0	-36.0	6.0	1.7752323906086456	
PositiveTail 7	-48.0	2.0	22.0	3.3104919243426814	1792
PositiveTail 7a	-54.0	4.0	28.0	2.9458109905054792	
PositiveTail 7b	-46.0	8.0	28.0	2.5691892873707847	
PositiveTail 7c	-54.0	-2.0	26.0	2.5691892873707847	
PositiveTail 8	-46.0	-40.0	48.0	3.3104919243426814	888
PositiveTail 8a	-46.0	-30.0	44.0	2.1790658742097975	
PositiveTail 9	54.0	30.0	8.0	2.9458109905054792	960
PositiveTail 9a	54.0	26.0	0.0	2.1790658742097975	
PositiveTail 9b	58.0	30.0	6.0	2.1790658742097975	
PositiveTail 9c	50.0	34.0	2.0	2.1790658742097975	
PositiveTail 10	54.0	-52.0	20.0	2.9458109905054792	1848
PositiveTail 10a	46.0	-56.0	18.0	2.5691892873707847	
PositiveTail 10b	56.0	-48.0	18.0	2.5691892873707847	
PositiveTail 10c	54.0	-54.0	24.0	2.5691892873707847	
PositiveTail 11	46.0	-58.0	-10.0	2.9458109905054792	1544
PositiveTail 11a	50.0	-64.0	0.0	2.9458109905054792	
PositiveTail 11b	52.0	-62.0	-8.0	2.5691892873707847	
PositiveTail 11c	44.0	-62.0	-10.0	2.1790658742097975	
PositiveTail 12	30.0	22.0	2.0	2.9458109905054792	1624
PositiveTail 12a	34.0	24.0	-6.0	2.9458109905054792	
PositiveTail 12b	42.0	26.0	-4.0	2.1790658742097975	
PositiveTail 12c	28.0	24.0	-12.0	1.7752323906086456	
PositiveTail 13	20.0	-84.0	-8.0	2.9458109905054792	3384
PositiveTail 13a	18.0	-92.0	-2.0	2.9458109905054792	
PositiveTail 13b	24.0	-82.0	-10.0	2.9458109905054792	
PositiveTail 13c	18.0	-88.0	-2.0	2.5691892873707847	
PositiveTail 14	-60.0	-36.0	14.0	2.9458109905054792	872
PositiveTail 14a	-64.0	-38.0	22.0	1.7752323906086456	
PositiveTail 14b	-60.0	-42.0	16.0	1.7752323906086456	
PositiveTail 14c	-56.0	-34.0	20.0	1.7752323906086456	
PositiveTail 15	-30.0	16.0	-12.0	2.9458109905054792	1064
PositiveTail 15a	-36.0	10.0	-12.0	1.7752323906086456	
PositiveTail 15b	-26.0	8.0	-16.0	1.7752323906086456	
PositiveTail 16	-14.0	32.0	44.0	2.5691892873707847	336
PositiveTail 17	-48.0	32.0	-4.0	2.5691892873707847	504
PositiveTail 18	-54.0	-54.0	-6.0	2.5691892873707847	248
PositiveTail 18a	-50.0	-50.0	-12.0	2.1790658742097975	
PositiveTail 19	58.0	-4.0	-10.0	2.5691892873707847	736
PositiveTail 19a	62.0	-8.0	-18.0	2.1790658742097975	
PositiveTail 20	-40.0	-70.0	-10.0	2.1790658742097975	176
PositiveTail 21	18.0	0.0	52.0	2.1790658742097975	216
PositiveTail 21a	28.0	-2.0	54.0	1.7752323906086456	
PositiveTail 22	-40.0	24.0	-10.0	2.1790658742097975	176
PositiveTail 23	42.0	-2.0	42.0	2.1790658742097975	368
PositiveTail 23a	38.0	2.0	48.0	1.7752323906086456	
PositiveTail 23b	42.0	-8.0	44.0	1.7752323906086456	
PositiveTail 24	46.0	-10.0	48.0	2.1790658742097975	368
PositiveTail 24a	48.0	-6.0	56.0	1.7752323906086456	
PositiveTail 25	-50.0	-58.0	-12.0	2.1790658742097975	104
PositiveTail 26	-54.0	-50.0	6.0	2.1790658742097975	168
PositiveTail 26a	-58.0	-46.0	0.0	1.7752323906086456	
PositiveTail 27	50.0	-36.0	14.0	2.1790658742097975	96
PositiveTail 28	-4.0	4.0	48.0	1.7752323906086456	96
