Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-48.0	-70.0	6.0	6.221134237352695	49640
PositiveTail 1a	-36.0	20.0	-2.0	5.86600745615108	
PositiveTail 1b	-50.0	-58.0	24.0	5.6696169989222485	
PositiveTail 1c	-36.0	24.0	2.0	5.6696169989222485	
PositiveTail 2	38.0	24.0	-6.0	6.221134237352695	23840
PositiveTail 2a	48.0	26.0	0.0	5.86600745615108	
PositiveTail 2b	46.0	12.0	26.0	5.86600745615108	
PositiveTail 2c	54.0	30.0	8.0	5.6696169989222485	
PositiveTail 3	50.0	-62.0	8.0	6.0373752021592235	48584
PositiveTail 3a	56.0	-48.0	16.0	6.0373752021592235	
PositiveTail 3b	46.0	-60.0	6.0	5.86600745615108	
PositiveTail 3c	46.0	-64.0	-2.0	5.86600745615108	
PositiveTail 4	-2.0	-58.0	28.0	5.475084670660657	8968
PositiveTail 4a	0.0	-58.0	20.0	5.29086289140318	
PositiveTail 4b	0.0	-54.0	34.0	4.680264959981931	
PositiveTail 4c	2.0	-62.0	24.0	4.460180935284948	
PositiveTail 5	-2.0	10.0	54.0	5.475084670660657	34952
PositiveTail 5a	-2.0	52.0	14.0	4.895743393015158	
PositiveTail 5b	0.0	56.0	28.0	4.680264959981931	
PositiveTail 5c	-2.0	46.0	-12.0	4.680264959981931	
PositiveTail 6	-20.0	-6.0	-18.0	4.895743393015158	5264
PositiveTail 6a	-16.0	2.0	-12.0	3.4991040646096283	
PositiveTail 6b	-10.0	2.0	0.0	3.23535045968249	
PositiveTail 6c	-20.0	2.0	-14.0	3.23535045968249	
PositiveTail 7	-28.0	-6.0	58.0	4.680264959981931	5328
PositiveTail 7a	-34.0	-6.0	52.0	4.460180935284948	
PositiveTail 7b	-24.0	-4.0	56.0	4.2338088766681405	
PositiveTail 7c	-42.0	2.0	48.0	3.7490429810770127	
PositiveTail 8	-44.0	-40.0	50.0	4.2338088766681405	3416
PositiveTail 8a	-38.0	-48.0	50.0	3.23535045968249	
PositiveTail 8b	-50.0	-40.0	46.0	2.9674509766957313	
PositiveTail 8c	-44.0	-32.0	44.0	2.9674509766957313	
PositiveTail 9	24.0	-6.0	-16.0	4.2338088766681405	2848
PositiveTail 10	-48.0	4.0	32.0	3.23535045968249	1440
PositiveTail 10a	-52.0	8.0	26.0	2.9674509766957313	
PositiveTail 10b	-50.0	0.0	34.0	1.8325363631274765	
PositiveTail 10c	-42.0	6.0	36.0	1.8325363631274765	
PositiveTail 11	-46.0	10.0	-32.0	2.9674509766957313	1128
PositiveTail 11a	-52.0	4.0	-36.0	2.4091607463612075	
PositiveTail 12	10.0	-18.0	4.0	2.6920204259222764	536
PositiveTail 12a	4.0	-8.0	6.0	2.1236976196298887	
PositiveTail 12b	8.0	-16.0	-2.0	2.1236976196298887	
PositiveTail 12c	12.0	-12.0	6.0	2.1236976196298887	
PositiveTail 13	-8.0	-12.0	8.0	2.6920204259222764	488
PositiveTail 13a	-2.0	-12.0	2.0	2.4091607463612075	
PositiveTail 13b	-10.0	-6.0	6.0	1.8325363631274765	
PositiveTail 14	18.0	-60.0	58.0	2.4091607463612075	632
PositiveTail 14a	26.0	-60.0	54.0	2.4091607463612075	
PositiveTail 14b	14.0	-56.0	56.0	2.1236976196298887	
PositiveTail 14c	18.0	-64.0	60.0	2.1236976196298887	
PositiveTail 15	18.0	14.0	-4.0	2.4091607463612075	208
PositiveTail 16	12.0	4.0	2.0	2.4091607463612075	376
PositiveTail 16a	4.0	6.0	-2.0	2.1236976196298887	
PositiveTail 16b	12.0	2.0	6.0	2.1236976196298887	
PositiveTail 16c	8.0	8.0	0.0	1.8325363631274765	
PositiveTail 17	2.0	-58.0	50.0	2.1236976196298887	200
PositiveTail 18	28.0	-54.0	48.0	2.1236976196298887	96
PositiveTail 19	-34.0	-28.0	-10.0	2.1236976196298887	104
PositiveTail 20	46.0	-14.0	8.0	2.1236976196298887	80
PositiveTail 21	-34.0	-32.0	60.0	1.8325363631274765	80
