Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-50.0	-60.0	26.0	8.003635794650402	61560
PositiveTail 1a	-48.0	-68.0	12.0	7.701607150302824	
PositiveTail 1b	-48.0	-70.0	4.0	7.192720882909428	
PositiveTail 1c	-38.0	20.0	-4.0	7.008957449305514	
PositiveTail 2	38.0	24.0	-6.0	7.950323186900182	24984
PositiveTail 2a	48.0	26.0	0.0	7.365016989750878	
PositiveTail 2b	46.0	12.0	26.0	6.634111569892065	
PositiveTail 2c	44.0	24.0	-4.0	6.442440884133836	
PositiveTail 3	-2.0	-58.0	28.0	7.834507677520374	11768
PositiveTail 3a	0.0	-56.0	42.0	4.797752989573781	
PositiveTail 3b	-6.0	-62.0	14.0	3.16203050390924	
PositiveTail 3c	0.0	-40.0	42.0	2.9144356304372927	
PositiveTail 4	58.0	-50.0	16.0	7.365016989750878	49088
PositiveTail 4a	58.0	-4.0	-10.0	6.815804719296873	
PositiveTail 4b	56.0	-48.0	12.0	6.634111569892065	
PositiveTail 4c	50.0	-54.0	20.0	6.634111569892065	
PositiveTail 5	0.0	16.0	52.0	6.634111569892065	42560
PositiveTail 5a	-2.0	52.0	20.0	6.046019150731443	
PositiveTail 5b	-4.0	18.0	52.0	6.046019150731443	
PositiveTail 5c	4.0	56.0	12.0	6.046019150731443	
PositiveTail 6	-20.0	-6.0	-18.0	5.0174367606529096	8880
PositiveTail 6a	-20.0	2.0	-14.0	3.6511346321185996	
PositiveTail 6b	-10.0	2.0	0.0	3.6511346321185996	
PositiveTail 6c	8.0	14.0	-8.0	3.4092324307435824	
PositiveTail 7	18.0	-92.0	0.0	5.0174367606529096	6816
PositiveTail 7a	22.0	-86.0	-4.0	4.35192785865034	
PositiveTail 7b	14.0	-86.0	0.0	3.8875953737414113	
PositiveTail 7c	26.0	-92.0	4.0	3.8875953737414113	
PositiveTail 8	-46.0	-58.0	-20.0	4.57606784070121	3864
PositiveTail 8a	-42.0	-50.0	-20.0	4.35192785865034	
PositiveTail 8b	-44.0	-58.0	-14.0	3.6511346321185996	
PositiveTail 8c	-36.0	-48.0	-18.0	3.6511346321185996	
PositiveTail 9	-46.0	6.0	30.0	4.35192785865034	3032
PositiveTail 9a	-54.0	12.0	28.0	3.16203050390924	
PositiveTail 9b	-42.0	6.0	38.0	2.9144356304372927	
PositiveTail 9c	-42.0	14.0	28.0	2.6594711308168186	
PositiveTail 10	-34.0	-6.0	52.0	4.121981952809884	4384
PositiveTail 10a	-28.0	-6.0	58.0	3.8875953737414113	
PositiveTail 10b	-22.0	0.0	58.0	3.6511346321185996	
PositiveTail 10c	-30.0	-4.0	54.0	3.6511346321185996	
PositiveTail 11	22.0	-4.0	-16.0	4.121981952809884	2600
PositiveTail 11a	18.0	2.0	-6.0	2.39971330902438	
PositiveTail 12	-4.0	-16.0	44.0	3.6511346321185996	2216
PositiveTail 12a	4.0	-16.0	40.0	3.4092324307435824	
PositiveTail 12b	-2.0	-20.0	36.0	2.9144356304372927	
PositiveTail 12c	-8.0	-14.0	40.0	2.6594711308168186	
PositiveTail 13	-24.0	-52.0	-14.0	2.6594711308168186	240
PositiveTail 14	-6.0	-12.0	4.0	2.6594711308168186	296
PositiveTail 14a	-14.0	-14.0	6.0	1.8706302557374754	
PositiveTail 14b	-2.0	-16.0	6.0	1.8706302557374754	
PositiveTail 15	-42.0	-70.0	-12.0	2.39971330902438	104
PositiveTail 16	46.0	-56.0	42.0	2.39971330902438	176
PositiveTail 17	28.0	-78.0	-28.0	2.137007212978029	96
