annotation,bucket,pmid,study_title,retrieval_source,pmcid,analysis_id,analysis_name,model_outcome_label,model_reasoning,pred_included,manual_included_accepted,total_parsed_analyses,include_ratio,auto_other_annotations,has_other_auto_annotation,manual_pmid_labels,abstract_excerpt,coord_table_ids,coord_table_captions,missing_description,generic_name,zero_point_analysis,construct_boundary_blur_flag,example_overreach_flag,global_criteria_dropout_flag,context_dominance_flag,analysis_granularity_noise_flag
social_processing_all,False Positive,31598216,"Social cognition, behaviour and therapy adherence in frontal lobe epilepsy: a study combining neuroeconomic and neuropsychological methods",pubget,6731699,31598216_analysis_0,decision-making,FP,Prisoners' dilemma is a social task assessing cooperation/competition and social decision-making; the contrast (decision-making) measures social processing.,7,0,7,1.000,affiliation_attachment;social_communication;perception_others,1,perception_others;social_communication,"Social behaviour of healthy humans and its neural correlates have been extensively studied in social neuroscience and neuroeconomics. Whereas it is well established that several types of epilepsies, such as frontal lobe epilepsy, lead to social cognitive impairments, experimental evidence on how these translate into behavioural symptoms is scarce. Furthermore, it is unclear whether social cognitiv",RSOS180850TB3;RSOS180850TB4;RSOS180850TB5,"Table 3. Summary of analysis of all participants. FWE, p = 0.001. | Table 4. Summary of per group analyses. FWE, p = 0.001. | Table 5. Analysis of group differences and ROI.",1,1,0,1,1,0,0,1
social_processing_all,False Positive,31598216,"Social cognition, behaviour and therapy adherence in frontal lobe epilepsy: a study combining neuroeconomic and neuropsychological methods",pubget,6731699,31598216_analysis_1,results,-,"The analysis used a prisoners' dilemma game and measured cooperative choices, trust ratings, and mentalizing; this is a social-related task and explicitly measures social processing.",7,0,7,1.000,affiliation_attachment;social_communication;perception_others,1,perception_others;social_communication,"Social behaviour of healthy humans and its neural correlates have been extensively studied in social neuroscience and neuroeconomics. Whereas it is well established that several types of epilepsies, such as frontal lobe epilepsy, lead to social cognitive impairments, experimental evidence on how these translate into behavioural symptoms is scarce. Furthermore, it is unclear whether social cognitiv",RSOS180850TB3;RSOS180850TB4;RSOS180850TB5,"Table 3. Summary of analysis of all participants. FWE, p = 0.001. | Table 4. Summary of per group analyses. FWE, p = 0.001. | Table 5. Analysis of group differences and ROI.",1,1,0,1,0,0,0,1
social_processing_all,False Positive,31598216,"Social cognition, behaviour and therapy adherence in frontal lobe epilepsy: a study combining neuroeconomic and neuropsychological methods",pubget,6731699,31598216_analysis_2,PATIENTS,-,"The prisoners' dilemma (PDG) is a social task probing cooperative/competitive behaviour, mentalizing, and trust; the analysis directly measures social processing (decision and result phases, group differences, MPFC activation).",7,0,7,1.000,affiliation_attachment;social_communication;perception_others,1,perception_others;social_communication,"Social behaviour of healthy humans and its neural correlates have been extensively studied in social neuroscience and neuroeconomics. Whereas it is well established that several types of epilepsies, such as frontal lobe epilepsy, lead to social cognitive impairments, experimental evidence on how these translate into behavioural symptoms is scarce. Furthermore, it is unclear whether social cognitiv",RSOS180850TB3;RSOS180850TB4;RSOS180850TB5,"Table 3. Summary of analysis of all participants. FWE, p = 0.001. | Table 4. Summary of per group analyses. FWE, p = 0.001. | Table 5. Analysis of group differences and ROI.",1,1,0,1,0,1,0,1
social_processing_all,False Positive,31598216,"Social cognition, behaviour and therapy adherence in frontal lobe epilepsy: a study combining neuroeconomic and neuropsychological methods",pubget,6731699,31598216_analysis_3,CONTROLS,FP,The task is a prisoners' dilemma game (cooperation/defection) and associated trustworthiness ratings—this is a social task probing social behavior and social cognition. The fMRI contrasts (decision and result phases) measure social processing.,7,0,7,1.000,affiliation_attachment;social_communication;perception_others,1,perception_others;social_communication,"Social behaviour of healthy humans and its neural correlates have been extensively studied in social neuroscience and neuroeconomics. Whereas it is well established that several types of epilepsies, such as frontal lobe epilepsy, lead to social cognitive impairments, experimental evidence on how these translate into behavioural symptoms is scarce. Furthermore, it is unclear whether social cognitiv",RSOS180850TB3;RSOS180850TB4;RSOS180850TB5,"Table 3. Summary of analysis of all participants. FWE, p = 0.001. | Table 4. Summary of per group analyses. FWE, p = 0.001. | Table 5. Analysis of group differences and ROI.",1,1,0,1,1,1,0,1
social_processing_all,False Positive,31598216,"Social cognition, behaviour and therapy adherence in frontal lobe epilepsy: a study combining neuroeconomic and neuropsychological methods",pubget,6731699,31598216_analysis_4,main effect of group,-,"The analysis uses a prisoners' dilemma game and measures social behaviour, mentalizing, trust and MPFC activation differences between patients and controls—clearly a social-processing task.",7,0,7,1.000,affiliation_attachment;social_communication;perception_others,1,perception_others;social_communication,"Social behaviour of healthy humans and its neural correlates have been extensively studied in social neuroscience and neuroeconomics. Whereas it is well established that several types of epilepsies, such as frontal lobe epilepsy, lead to social cognitive impairments, experimental evidence on how these translate into behavioural symptoms is scarce. Furthermore, it is unclear whether social cognitiv",RSOS180850TB3;RSOS180850TB4;RSOS180850TB5,"Table 3. Summary of analysis of all participants. FWE, p = 0.001. | Table 4. Summary of per group analyses. FWE, p = 0.001. | Table 5. Analysis of group differences and ROI.",1,1,0,1,0,1,0,1
social_processing_all,False Positive,31598216,"Social cognition, behaviour and therapy adherence in frontal lobe epilepsy: a study combining neuroeconomic and neuropsychological methods",pubget,6731699,31598216_analysis_5,main effect of condition,-,The analysis is of a prisoners' dilemma (cooperation) fMRI task and the main effect of condition (decision vs result) measures social processing related to social behaviour/cooperation.,7,0,7,1.000,affiliation_attachment;social_communication;perception_others,1,perception_others;social_communication,"Social behaviour of healthy humans and its neural correlates have been extensively studied in social neuroscience and neuroeconomics. Whereas it is well established that several types of epilepsies, such as frontal lobe epilepsy, lead to social cognitive impairments, experimental evidence on how these translate into behavioural symptoms is scarce. Furthermore, it is unclear whether social cognitiv",RSOS180850TB3;RSOS180850TB4;RSOS180850TB5,"Table 3. Summary of analysis of all participants. FWE, p = 0.001. | Table 4. Summary of per group analyses. FWE, p = 0.001. | Table 5. Analysis of group differences and ROI.",1,1,0,1,1,0,0,1
social_processing_all,False Positive,31598216,"Social cognition, behaviour and therapy adherence in frontal lobe epilepsy: a study combining neuroeconomic and neuropsychological methods",pubget,6731699,31598216_analysis_6,ROI-main effect of group,-,"The analysis used the prisoners' dilemma (a social interaction task) and reports group differences in brain activation during social decision-making, directly measuring social processing.",7,0,7,1.000,affiliation_attachment;social_communication;perception_others,1,perception_others;social_communication,"Social behaviour of healthy humans and its neural correlates have been extensively studied in social neuroscience and neuroeconomics. Whereas it is well established that several types of epilepsies, such as frontal lobe epilepsy, lead to social cognitive impairments, experimental evidence on how these translate into behavioural symptoms is scarce. Furthermore, it is unclear whether social cognitiv",RSOS180850TB3;RSOS180850TB4;RSOS180850TB5,"Table 3. Summary of analysis of all participants. FWE, p = 0.001. | Table 4. Summary of per group analyses. FWE, p = 0.001. | Table 5. Analysis of group differences and ROI.",1,0,0,1,0,1,0,0
social_processing_all,False Positive,17964185,Why are friends special? Implementing a social interaction simulation task to probe the neural correlates of friendship.,ace,,17964185_analysis_0,analysis_0,FP,The task is a social interaction simulation contrasting responses to friends (positive peers) versus other peers/celebrities; it directly involves social processing. Both inclusion criteria are met.,1,0,1,1.000,affiliation_attachment;social_communication;perception_others,1,affiliation_attachment;social_communication,"Friendships form one of the most proximal contexts with a critical role in mental health and social and psychological development. Yet, the neurobiological basis of this crucial developmental factor is largely uninvestigated. In this study, we tested the hypothesis that the interaction with friends is associated with specific activity increases in brain areas known to be involved in interpersonal ",302,Table 1. < 0.05 cluster corrected,0,1,0,1,0,0,0,1
social_processing_all,False Positive,18603608,Understanding the intentions behind man-made products elicits neural activity in areas dedicated to mental state attribution.,ace,,18603608_analysis_0,Predicted,FP,Task explicitly manipulates participants’ attitude toward stimuli to elicit attribution of intentions and engages brain regions for mental state attribution (theory of mind). This is a social-processing task measuring understanding of others’ intentions.,2,0,2,1.000,perception_others,1,perception_others,"Trying to understand others is the most pervasive aspect of successful social interaction. To date there is no evidence on whether human products, which signal the workings of a mind in the absence of an explicit agent, also reliably engage neural structures typically associated with mental state attribution. By means of functional magnetic resonance imaging the present study shows that when subje",288,Table 1,1,0,0,1,0,0,1,0
social_processing_all,False Positive,18603608,Understanding the intentions behind man-made products elicits neural activity in areas dedicated to mental state attribution.,ace,,18603608_analysis_1,Not predicted,-,"The contrast Composer vs Computer manipulates participants’ perception of agency and elicits mentalizing about intentions of a creator, which is a social-related task and directly measures social processing (understanding others' intentions).",2,0,2,1.000,perception_others,1,perception_others,"Trying to understand others is the most pervasive aspect of successful social interaction. To date there is no evidence on whether human products, which signal the workings of a mind in the absence of an explicit agent, also reliably engage neural structures typically associated with mental state attribution. By means of functional magnetic resonance imaging the present study shows that when subje",288,Table 1,1,0,0,1,0,0,1,0
social_processing_all,False Positive,21206532,Individuating faces and common objects produces equal responses in putative face-processing areas in the ventral occipitotemporal cortex.,ace,,21206532_analysis_0,"Characterization of FFA, OFA, and LOC regions of interest",FP,"The analysis involves face perception and individuation, which is a form of social-related processing (perception/recognition of others). Thus it satisfies performing a social-related task and measuring social processing.",1,0,1,1.000,social_communication,1,social_communication,"Controversy surrounds the proposal that specific human cortical regions in the ventral occipitotemporal cortex, commonly called the fusiform face area (FFA) and occipital face area (OFA), are specialized for face processing. Here, we present findings from an fMRI study of identity discrimination of faces and objects that demonstrates the FFA and OFA are equally responsive to processing stimuli at ",205,"Table 1 Characterization of FFA, OFA, and LOC regions of interest.",1,0,0,1,0,0,1,0
social_processing_all,False Positive,24582805,But do you think I'm cool? Developmental differences in striatal recruitment during direct and reflected social self-evaluations.,ace,,24582805_analysis_0,Main effect of age group,FP,"Task involves self-, other-, and reflected self-evaluations from a close peer’s perspective—clearly social processing.",7,0,7,1.000,affiliation_attachment;perception_self;perception_others,1,perception_others;perception_self,"The current fMRI study investigates the neural foundations of evaluating oneself and others during early adolescence and young adulthood. Eighteen early adolescents (ages 11-14, M=12.6) and 19 young adults (ages 22-31, M=25.6) evaluated whether academic, physical, and social traits described themselves directly (direct self-evaluations), described their best friend directly (direct other-evaluatio",305,Table 1. Age group × evaluative perspective × domain repeated measures ANOVA.,1,1,0,1,0,0,1,1
social_processing_all,False Positive,24582805,But do you think I'm cool? Developmental differences in striatal recruitment during direct and reflected social self-evaluations.,ace,,24582805_analysis_1,Main effect of evaluative perspective,FP,"Task involves evaluating self, close other, and reflected self from a best friend's perspective—clear social processing (self/other perception, peer evaluation).",7,0,7,1.000,affiliation_attachment;social_communication;perception_self;perception_others,1,perception_others;perception_self,"The current fMRI study investigates the neural foundations of evaluating oneself and others during early adolescence and young adulthood. Eighteen early adolescents (ages 11-14, M=12.6) and 19 young adults (ages 22-31, M=25.6) evaluated whether academic, physical, and social traits described themselves directly (direct self-evaluations), described their best friend directly (direct other-evaluatio",305,Table 1. Age group × evaluative perspective × domain repeated measures ANOVA.,1,1,0,1,0,0,1,1
social_processing_all,False Positive,24582805,But do you think I'm cool? Developmental differences in striatal recruitment during direct and reflected social self-evaluations.,ace,,24582805_analysis_2,Age group × evaluative perspective,FP,"Task involves self-, other-, and reflected self-evaluations from a peer’s perspective, clearly a social-related task measuring social processing (self/peer evaluation, perspective-taking, peer influence).",7,0,7,1.000,affiliation_attachment;perception_self;perception_others,1,perception_others;perception_self,"The current fMRI study investigates the neural foundations of evaluating oneself and others during early adolescence and young adulthood. Eighteen early adolescents (ages 11-14, M=12.6) and 19 young adults (ages 22-31, M=25.6) evaluated whether academic, physical, and social traits described themselves directly (direct self-evaluations), described their best friend directly (direct other-evaluatio",305,Table 1. Age group × evaluative perspective × domain repeated measures ANOVA.,1,0,0,1,0,0,1,0
