id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10
11050021-11050021_analysis_0	0	0	0	0	0	0	0	0	0	0
11050021-11050021_analysis_1	0	0	0	0	0	0	0	0	0	0
11050021-11050021_analysis_2	1	0	0	0	0	0	0	0	0	0
11050021-11050021_analysis_3	0	0	0	0	0	0	0	0	0	0
11050021-11050021_analysis_4	2	0	0	0	0	0	0	0	0	0
14568477-14568477_analysis_0	2	0	0	0	0	0	0	0	0	0
14568477-14568477_analysis_1	1	0	0	0	0	0	0	0	0	0
14568477-14568477_analysis_2	0	0	0	0	0	0	0	0	0	0
14568477-14568477_analysis_3	2	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_0	3	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_1	5	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_2	0	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_3	6	0	0	0	0	0	0	0	0	0
15006683-15006683_analysis_0	4	1	1	0	0	0	0	0	0	0
15488424-15488424_analysis_0	3	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_1	2	0	2	0	0	0	0	0	0	0
15488424-15488424_analysis_2	0	2	0	0	0	0	0	0	0	0
15488424-15488424_analysis_3	1	0	1	0	1	0	0	0	0	0
15528090-15528090_analysis_0	4	0	0	0	0	0	0	0	0	0
15528097-15528097_analysis_0	1	0	2	0	0	0	0	0	0	0
15808992-15808992_analysis_0	1	0	0	0	0	0	0	0	0	0
15808992-15808992_analysis_1	2	1	2	0	0	0	0	0	0	0
15862225-15862225_analysis_0	4	1	2	0	0	0	0	0	0	0
15862225-15862225_analysis_1	1	0	1	0	0	0	0	0	0	0
15862225-15862225_analysis_2	1	0	2	0	0	0	0	0	0	0
15862225-15862225_analysis_3	2	1	1	0	0	0	0	0	0	0
16035037-16035037_analysis_0	2	1	1	0	0	0	0	0	0	0
16035037-16035037_analysis_1	4	0	0	0	0	0	0	0	0	0
16035037-16035037_analysis_2	3	0	0	0	0	0	0	0	0	0
16035037-16035037_analysis_3	0	0	0	0	0	0	0	0	0	0
16035037-16035037_analysis_4	2	0	1	0	0	0	0	0	0	0
16055351-16055351_analysis_0	4	0	0	0	0	0	0	0	0	0
16055351-16055351_analysis_1	1	0	0	0	0	0	0	0	0	0
16055351-16055351_analysis_2	3	1	0	0	0	0	0	0	0	0
16055351-16055351_analysis_3	3	0	1	0	0	0	0	0	0	0
16055351-16055351_analysis_4	0	1	0	0	0	0	0	0	0	0
16055351-16055351_analysis_5	1	0	0	0	0	0	0	0	0	0
16055351-16055351_analysis_6	2	1	1	0	0	0	0	0	0	0
16122944-16122944_analysis_0	1	1	0	0	0	0	0	0	0	0
16122944-16122944_analysis_1	1	0	1	0	0	0	0	0	0	0
16122944-16122944_analysis_2	2	0	0	0	0	0	0	0	0	0
16122944-16122944_analysis_3	0	0	0	0	0	0	0	0	0	0
16122944-16122944_analysis_4	2	0	1	0	0	0	0	0	0	0
16171833-16171833_analysis_0	0	0	2	0	0	0	0	0	0	0
16171833-16171833_analysis_1	5	0	0	0	0	0	0	0	0	0
16171833-16171833_analysis_2	1	0	1	0	0	0	0	0	0	0
16171833-16171833_analysis_3	3	0	1	0	0	0	0	0	0	0
16171833-16171833_analysis_4	0	0	1	0	0	0	0	0	0	0
16171833-16171833_analysis_5	1	0	0	0	0	0	0	0	0	0
16406606-16406606_analysis_0	3	0	0	0	0	0	0	0	0	0
16406606-16406606_analysis_1	0	0	0	0	0	0	0	0	0	0
16624578-16624578_analysis_0	2	1	1	0	0	0	0	0	0	0
16624578-16624578_analysis_1	2	0	0	0	0	0	0	0	0	0
16624578-16624578_analysis_10	0	0	0	0	0	0	0	0	0	0
16624578-16624578_analysis_2	2	1	0	0	0	0	0	0	0	0
16624578-16624578_analysis_3	1	1	0	0	0	0	0	0	0	0
16624578-16624578_analysis_4	2	0	0	0	0	0	0	0	0	0
16624578-16624578_analysis_5	1	0	0	0	0	0	0	0	0	0
16624578-16624578_analysis_6	1	0	0	0	0	0	0	0	0	0
16624578-16624578_analysis_7	0	0	0	0	0	0	0	0	0	0
16624578-16624578_analysis_8	1	0	0	0	0	0	0	0	0	0
16624578-16624578_analysis_9	1	0	0	0	0	0	0	0	0	0
16706860-16706860_analysis_0	8	0	1	0	0	0	0	0	0	0
16706860-16706860_analysis_1	0	0	2	0	0	0	0	0	0	0
16759672-16759672_analysis_0	2	0	1	0	0	0	0	0	0	0
16759672-16759672_analysis_1	4	1	1	0	0	0	0	0	0	0
16759672-16759672_analysis_2	2	0	0	0	0	0	0	0	0	0
16764897-16764897_analysis_0	3	0	0	0	1	0	0	0	0	0
16764897-16764897_analysis_1	1	0	0	0	0	0	0	0	0	0
16764897-16764897_analysis_2	1	0	0	0	0	0	0	0	0	0
16764897-16764897_analysis_3	1	0	0	0	0	0	0	0	0	0
16780808-16780808_analysis_0	5	0	1	0	0	0	0	0	0	0
16780808-16780808_analysis_1	4	0	2	0	0	0	0	0	0	0
16780808-16780808_analysis_2	4	1	1	0	0	0	0	0	0	0
16806312-16806312_analysis_0	3	0	1	0	0	0	0	0	0	0
16806312-16806312_analysis_1	1	0	0	0	0	0	0	0	0	0
16806312-16806312_analysis_2	1	0	0	0	0	0	0	0	0	0
16806312-16806312_analysis_3	2	0	0	0	0	0	0	0	0	0
16806312-16806312_analysis_4	3	0	0	0	0	0	0	0	0	0
16806312-16806312_analysis_5	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_0	0	0	1	0	0	0	0	0	0	0
17046722-17046722_analysis_1	1	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_2	1	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_3	4	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_4	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_5	2	0	1	0	0	0	0	0	0	0
17071110-17071110_analysis_0	5	0	0	0	0	0	0	0	0	0
17071110-17071110_analysis_1	1	0	0	0	0	0	0	0	0	0
17071110-17071110_analysis_2	6	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_0	0	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_1	2	0	1	0	0	0	0	0	0	0
17372621-17372621_analysis_11	0	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_2	0	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_3	3	0	1	0	0	0	0	0	0	0
17372621-17372621_analysis_4	0	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_5	0	0	1	0	0	0	0	0	0	0
17372621-17372621_analysis_6	0	0	1	0	0	0	0	0	0	0
17372621-17372621_analysis_7	0	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_8	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_0	2	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_1	2	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_10	4	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_11	6	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_12	4	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_13	3	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_2	2	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_3	1	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_4	5	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_5	9	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_6	1	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_7	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_8	2	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_9	2	0	0	0	0	0	0	0	0	0
17408704-17408704_analysis_0	2	0	0	0	0	0	0	0	0	0
17408704-17408704_analysis_1	3	0	0	0	0	0	0	0	0	0
17408704-17408704_analysis_2	4	0	0	0	0	0	0	0	0	0
17627852-17627852_analysis_0	3	0	1	0	0	0	0	0	0	0
17627852-17627852_analysis_1	3	0	0	0	0	1	1	0	0	0
17627852-17627852_analysis_2	2	0	1	0	0	0	0	0	0	0
17627852-17627852_analysis_3	0	1	1	0	0	0	0	0	0	0
17765572-17765572_analysis_0	5	1	2	0	0	0	0	0	0	0
17765572-17765572_analysis_2	5	1	4	0	0	0	0	0	0	0
17765572-17765572_analysis_3	0	0	0	0	0	0	0	0	0	0
17765572-17765572_analysis_4	4	0	2	0	0	0	0	0	0	0
17765572-17765572_analysis_6	4	1	2	0	0	0	0	0	0	0
17765572-17765572_analysis_7	2	0	0	0	0	0	0	0	0	0
17765572-17765572_analysis_8	4	0	2	0	0	0	0	0	0	0
