stage,metric,value,ci_lower,ci_upper
search,true_positives,332,,
search,false_negatives,33,,
search,false_positives,667,,
search,recall,0.9095890410958904,0.875747365171337,0.9348987224717054
search,precision,0.33233233233233234,0.3038129933141016,0.36213624532936906
abstract,true_positives,317,,
abstract,false_negatives,15,,
abstract,false_positives,380,,
abstract,recall_in_search,0.9548192771084337,0.9268016716525852,0.9724317764967806
abstract,recall_all_meta,0.8684931506849315,0.8299522716830618,0.8993580881028191
abstract,precision,0.45480631276901007,0.41818646133351856,0.49192161444280535
fulltext,true_positives,74,,
fulltext,false_negatives,26,,
fulltext,false_positives,83,,
fulltext,additional_false_negatives,11,,
fulltext,recall_in_search,0.74,0.6462882736813838,0.8159542187301354
fulltext,recall_all_meta,0.20273972602739726,0.16468875241467285,0.24698281608519262
fulltext,precision,0.4713375796178344,0.39487335343585284,0.5491709734049646
fulltext_with_coords,true_positives,33,,
fulltext_with_coords,false_negatives,67,,
fulltext_with_coords,false_positives,30,,
fulltext_with_coords,recall_in_search,0.33,0.24562983793895452,0.4269483966028862
fulltext_with_coords,recall_all_meta,0.09041095890410959,0.06510127752829462,0.12425263482866294
fulltext_with_coords,precision,0.5238095238095238,0.4027014429047192,0.6421807861263035
