stage,metric,value,ci_lower,ci_upper
search,true_positives,332,,
search,false_negatives,33,,
search,false_positives,109,,
search,recall,0.9095890410958904,0.875747365171337,0.9348987224717054
search,precision,0.7528344671201814,0.7105051957879924,0.790796840712191
abstract,true_positives,317,,
abstract,false_negatives,15,,
abstract,false_positives,40,,
abstract,recall_in_search,0.9548192771084337,0.9268016716525852,0.9724317764967806
abstract,recall_all_meta,0.8684931506849315,0.8299522716830618,0.8993580881028191
abstract,precision,0.8879551820728291,0.8510185233167709,0.9166313263679662
fulltext,true_positives,74,,
fulltext,false_negatives,26,,
fulltext,false_positives,7,,
fulltext,additional_false_negatives,11,,
fulltext,recall_in_search,0.74,0.6462882736813838,0.8159542187301354
fulltext,recall_all_meta,0.20273972602739726,0.16468875241467285,0.24698281608519262
fulltext,precision,0.9135802469135802,0.8321989792572,0.9575079569627674
fulltext_with_coords,true_positives,33,,
fulltext_with_coords,false_negatives,67,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.33,0.24562983793895452,0.4269483966028862
fulltext_with_coords,recall_all_meta,0.09041095890410959,0.06510127752829462,0.12425263482866294
fulltext_with_coords,precision,1.0,0.8957265699643882,1
