stage,metric,value,ci_lower,ci_upper
search,true_positives,221,,
search,false_negatives,15,,
search,false_positives,778,,
search,recall,0.9364406779661016,0.8977924556499415,0.9611077518203222
search,precision,0.22122122122122123,0.19657717823838428,0.24800110810314763
abstract,true_positives,220,,
abstract,false_negatives,1,,
abstract,false_positives,477,,
abstract,recall_in_search,0.995475113122172,0.9748182228803925,0.9992008198590294
abstract,recall_all_meta,0.9322033898305084,0.892719712230716,0.957841658273817
abstract,precision,0.31563845050215206,0.28222423791947104,0.35107378548553236
fulltext,true_positives,41,,
fulltext,false_negatives,3,,
fulltext,false_positives,116,,
fulltext,additional_false_negatives,2,,
fulltext,recall_in_search,0.9318181818181818,0.8177467866338279,0.9765410298271597
fulltext,recall_all_meta,0.17372881355932204,0.130720567281024,0.2271889863577109
fulltext,precision,0.2611464968152866,0.19872639912020018,0.3349763245532774
fulltext_with_coords,true_positives,26,,
fulltext_with_coords,false_negatives,18,,
fulltext_with_coords,false_positives,37,,
fulltext_with_coords,recall_in_search,0.5909090909090909,0.44409492646606574,0.7231235612099317
fulltext_with_coords,recall_all_meta,0.11016949152542373,0.07629876021467623,0.15652823893809792
fulltext_with_coords,precision,0.4126984126984127,0.2995827804043615,0.5358490464818889
