Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	4.0	18.0	44.0	5.856491507520934	9784
PositiveTail 1a	4.0	26.0	42.0	4.8223336080676145	
PositiveTail 1b	0.0	10.0	46.0	3.860661500161934	
PositiveTail 1c	6.0	18.0	32.0	3.860661500161934	
PositiveTail 2	46.0	-64.0	-4.0	5.856491507520934	29520
PositiveTail 2a	54.0	-52.0	20.0	4.8223336080676145	
PositiveTail 2b	42.0	-72.0	-2.0	4.604022033843324	
PositiveTail 2c	58.0	-20.0	6.0	4.604022033843324	
PositiveTail 3	54.0	28.0	6.0	5.722650049954176	17496
PositiveTail 3a	44.0	24.0	4.0	5.435210277854797	
PositiveTail 3b	52.0	26.0	16.0	5.435210277854797	
PositiveTail 3c	52.0	32.0	6.0	5.435210277854797	
PositiveTail 4	-50.0	-56.0	26.0	5.602241670543524	21480
PositiveTail 4a	-52.0	-56.0	18.0	5.244095853701306	
PositiveTail 4b	-56.0	-28.0	4.0	5.244095853701306	
PositiveTail 4c	-50.0	-52.0	28.0	5.034291828783536	
PositiveTail 5	-40.0	22.0	-4.0	5.244095853701306	7832
PositiveTail 5a	-46.0	22.0	2.0	3.860661500161934	
PositiveTail 5b	-46.0	34.0	20.0	3.0263102501852797	
PositiveTail 5c	-42.0	24.0	6.0	3.0263102501852797	
PositiveTail 6	-6.0	46.0	-8.0	4.8223336080676145	14240
PositiveTail 6a	2.0	56.0	24.0	4.604022033843324	
PositiveTail 6b	0.0	50.0	30.0	4.604022033843324	
PositiveTail 6c	2.0	58.0	20.0	4.604022033843324	
PositiveTail 7	-26.0	-8.0	-16.0	4.8223336080676145	3104
PositiveTail 7a	-24.0	0.0	-16.0	3.860661500161934	
PositiveTail 8	-2.0	-56.0	34.0	4.604022033843324	5272
PositiveTail 8a	-8.0	-50.0	30.0	4.129022870717707	
PositiveTail 8b	0.0	-54.0	38.0	3.5907195388576385	
PositiveTail 8c	-2.0	-62.0	40.0	3.0263102501852797	
PositiveTail 9	12.0	8.0	2.0	4.373959233359231	4288
PositiveTail 9a	-12.0	12.0	4.0	3.3112532390714757	
PositiveTail 9b	18.0	4.0	-2.0	3.0263102501852797	
PositiveTail 9c	2.0	12.0	-2.0	3.0263102501852797	
PositiveTail 10	-40.0	-82.0	0.0	3.860661500161934	3200
PositiveTail 10a	-46.0	-72.0	-2.0	3.0263102501852797	
PositiveTail 10b	-44.0	-78.0	4.0	3.0263102501852797	
PositiveTail 10c	-48.0	-70.0	0.0	3.0263102501852797	
PositiveTail 11	-4.0	-80.0	0.0	3.860661500161934	2992
PositiveTail 11a	4.0	-84.0	8.0	2.733316849406599	
PositiveTail 11b	0.0	-78.0	2.0	2.733316849406599	
PositiveTail 11c	-4.0	-72.0	8.0	2.733316849406599	
PositiveTail 12	-30.0	-10.0	56.0	3.860661500161934	1592
PositiveTail 13	26.0	-2.0	-18.0	3.5907195388576385	2008
PositiveTail 13a	22.0	-8.0	-14.0	2.733316849406599	
PositiveTail 13b	32.0	-8.0	-24.0	2.733316849406599	
PositiveTail 13c	22.0	-6.0	-10.0	2.1235479029034305	
PositiveTail 14	-34.0	-56.0	-12.0	3.5907195388576385	2384
PositiveTail 14a	-26.0	-54.0	-10.0	3.3112532390714757	
PositiveTail 14b	-26.0	-58.0	-18.0	2.733316849406599	
PositiveTail 14c	-36.0	-60.0	-16.0	2.733316849406599	
PositiveTail 15	34.0	-2.0	56.0	3.5907195388576385	1736
PositiveTail 15a	44.0	0.0	52.0	2.429017547898912	
PositiveTail 15b	30.0	2.0	64.0	2.1235479029034305	
PositiveTail 15c	32.0	-10.0	50.0	1.8120648689371044	
PositiveTail 16	-38.0	-38.0	52.0	3.0263102501852797	2992
PositiveTail 16a	-38.0	-46.0	50.0	3.0263102501852797	
PositiveTail 16b	-34.0	-54.0	48.0	2.733316849406599	
PositiveTail 16c	-36.0	-42.0	42.0	2.733316849406599	
PositiveTail 17	-58.0	-30.0	26.0	3.0263102501852797	304
PositiveTail 18	18.0	-86.0	-6.0	3.0263102501852797	1352
PositiveTail 18a	16.0	-94.0	-4.0	2.429017547898912	
PositiveTail 18b	24.0	-88.0	-10.0	2.1235479029034305	
PositiveTail 18c	12.0	-94.0	-4.0	2.1235479029034305	
PositiveTail 19	-54.0	-30.0	36.0	2.733316849406599	216
PositiveTail 19a	-52.0	-22.0	36.0	1.8120648689371044	
PositiveTail 20	28.0	-74.0	42.0	2.733316849406599	632
PositiveTail 21	20.0	-82.0	36.0	2.429017547898912	176
PositiveTail 22	26.0	-46.0	62.0	2.429017547898912	272
PositiveTail 23	38.0	-78.0	16.0	2.429017547898912	352
PositiveTail 24	-46.0	2.0	40.0	2.429017547898912	264
PositiveTail 25	-48.0	-34.0	14.0	2.429017547898912	96
PositiveTail 25a	-46.0	-26.0	14.0	1.8120648689371044	
PositiveTail 26	-34.0	-38.0	-18.0	2.1235479029034305	104
PositiveTail 27	-36.0	-26.0	58.0	2.1235479029034305	88
PositiveTail 28	-48.0	10.0	16.0	2.1235479029034305	104
PositiveTail 29	4.0	-28.0	44.0	2.1235479029034305	88
PositiveTail 30	-24.0	-72.0	56.0	2.1235479029034305	544
PositiveTail 30a	-22.0	-64.0	58.0	2.1235479029034305	
