Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	46.0	-64.0	-4.0	4.398339991890014	5736
PositiveTail 1a	54.0	-62.0	2.0	3.598318196890924	
PositiveTail 1b	50.0	-60.0	-6.0	3.598318196890924	
PositiveTail 1c	50.0	-62.0	4.0	3.598318196890924	
PositiveTail 2	56.0	30.0	8.0	4.398339991890014	9736
PositiveTail 2a	52.0	26.0	14.0	4.398339991890014	
PositiveTail 2b	54.0	34.0	10.0	4.162130983949792	
PositiveTail 2c	52.0	22.0	4.0	3.8562613640177643	
PositiveTail 3	-58.0	-22.0	6.0	4.162130983949792	4744
PositiveTail 3a	-56.0	-18.0	-2.0	2.9741071039320297	
PositiveTail 3b	-68.0	-24.0	4.0	2.9741071039320297	
PositiveTail 3c	-60.0	-26.0	-2.0	2.9741071039320297	
PositiveTail 4	8.0	16.0	46.0	4.162130983949792	5536
PositiveTail 4a	0.0	14.0	50.0	3.8562613640177643	
PositiveTail 4b	4.0	18.0	44.0	3.8562613640177643	
PositiveTail 4c	-2.0	14.0	48.0	3.8562613640177643	
PositiveTail 5	-6.0	46.0	-8.0	3.598318196890924	1496
PositiveTail 5a	4.0	42.0	-10.0	2.6423102889315513	
PositiveTail 5b	-4.0	46.0	-4.0	2.29785780124989	
PositiveTail 5c	2.0	44.0	-16.0	1.935732989025168	
PositiveTail 6	52.0	-36.0	4.0	3.2746318970174366	3704
PositiveTail 6a	62.0	-24.0	4.0	3.2746318970174366	
PositiveTail 6b	54.0	-24.0	2.0	3.2746318970174366	
PositiveTail 6c	62.0	-28.0	10.0	3.2746318970174366	
PositiveTail 7	-42.0	22.0	-6.0	3.2746318970174366	1904
PositiveTail 7a	-38.0	16.0	-2.0	2.6423102889315513	
PositiveTail 7b	-34.0	24.0	0.0	2.6423102889315513	
PositiveTail 7c	-46.0	24.0	-6.0	2.29785780124989	
PositiveTail 8	2.0	56.0	24.0	3.2746318970174366	1432
PositiveTail 8a	0.0	50.0	30.0	2.6423102889315513	
PositiveTail 8b	4.0	58.0	30.0	2.29785780124989	
PositiveTail 8c	4.0	56.0	14.0	2.29785780124989	
PositiveTail 9	-52.0	-60.0	26.0	3.2746318970174366	2448
PositiveTail 9a	-50.0	-52.0	28.0	2.9741071039320297	
PositiveTail 9b	-52.0	-60.0	30.0	2.9741071039320297	
PositiveTail 9c	-52.0	-58.0	18.0	2.6423102889315513	
PositiveTail 10	-32.0	-8.0	56.0	2.9741071039320297	616
PositiveTail 10a	-34.0	0.0	56.0	1.935732989025168	
PositiveTail 10b	-24.0	-6.0	54.0	1.935732989025168	
PositiveTail 11	-26.0	-8.0	-16.0	2.9741071039320297	1400
PositiveTail 11a	-20.0	0.0	-20.0	1.935732989025168	
PositiveTail 12	58.0	0.0	-18.0	2.9741071039320297	480
PositiveTail 12a	48.0	2.0	-16.0	1.935732989025168	
PositiveTail 12b	60.0	4.0	-16.0	1.935732989025168	
PositiveTail 13	-32.0	-48.0	-22.0	2.6423102889315513	624
PositiveTail 13a	-26.0	-50.0	-14.0	2.6423102889315513	
PositiveTail 13b	-22.0	-58.0	-12.0	2.29785780124989	
PositiveTail 13c	-32.0	-50.0	-18.0	1.935732989025168	
PositiveTail 14	-6.0	-40.0	38.0	2.6423102889315513	520
PositiveTail 14a	-10.0	-36.0	44.0	2.29785780124989	
PositiveTail 14b	-4.0	-40.0	34.0	1.935732989025168	
PositiveTail 14c	-4.0	-36.0	42.0	1.935732989025168	
PositiveTail 15	-48.0	-70.0	-2.0	2.6423102889315513	720
PositiveTail 15a	-40.0	-78.0	4.0	2.29785780124989	
PositiveTail 15b	-40.0	-70.0	6.0	2.29785780124989	
PositiveTail 16	32.0	-50.0	-20.0	2.6423102889315513	536
PositiveTail 16a	24.0	-54.0	-22.0	1.935732989025168	
PositiveTail 17	26.0	-2.0	-18.0	2.6423102889315513	816
PositiveTail 17a	28.0	-10.0	-14.0	2.29785780124989	
PositiveTail 17b	32.0	-4.0	-24.0	1.935732989025168	
PositiveTail 17c	34.0	-16.0	-14.0	1.935732989025168	
PositiveTail 18	-58.0	-30.0	26.0	2.6423102889315513	88
PositiveTail 19	42.0	-76.0	22.0	2.29785780124989	192
PositiveTail 20	-48.0	-34.0	14.0	2.29785780124989	96
PositiveTail 21	-38.0	-50.0	48.0	2.29785780124989	320
PositiveTail 21a	-38.0	-42.0	42.0	1.935732989025168	
PositiveTail 22	34.0	-2.0	56.0	2.29785780124989	232
PositiveTail 23	-10.0	-52.0	36.0	2.29785780124989	240
