Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-56.0	-16.0	2.0	3.25232645271569	4424
PositiveTail 1a	-58.0	-24.0	10.0	3.25232645271569	
PositiveTail 1b	-58.0	-26.0	2.0	3.1589613229394584	
PositiveTail 1c	-68.0	-24.0	6.0	2.9788659194126077	
PositiveTail 2	44.0	-64.0	-2.0	3.25232645271569	5096
PositiveTail 2a	50.0	-52.0	20.0	3.1589613229394584	
PositiveTail 2b	50.0	-60.0	6.0	3.1589613229394584	
PositiveTail 2c	54.0	-52.0	20.0	2.9788659194126077	
PositiveTail 3	-42.0	22.0	-6.0	3.25232645271569	2192
PositiveTail 3a	-34.0	24.0	-4.0	2.9788659194126077	
PositiveTail 3b	-46.0	24.0	-6.0	2.6935091999757503	
PositiveTail 3c	-42.0	16.0	-2.0	2.341780322956843	
PositiveTail 4	54.0	26.0	12.0	3.25232645271569	2568
PositiveTail 4a	52.0	20.0	6.0	3.1589613229394584	
PositiveTail 4b	56.0	28.0	8.0	3.1589613229394584	
PositiveTail 4c	56.0	20.0	4.0	2.9788659194126077	
PositiveTail 5	2.0	56.0	24.0	3.1589613229394584	1728
PositiveTail 5a	-6.0	50.0	22.0	2.6935091999757503	
PositiveTail 5b	0.0	46.0	28.0	2.6935091999757503	
PositiveTail 5c	-10.0	56.0	22.0	2.341780322956843	
PositiveTail 6	44.0	10.0	34.0	3.1589613229394584	584
PositiveTail 7	-56.0	-54.0	26.0	3.1589613229394584	3440
PositiveTail 7a	-50.0	-58.0	30.0	3.1589613229394584	
PositiveTail 7b	-46.0	-56.0	20.0	2.9788659194126077	
PositiveTail 7c	-52.0	-60.0	26.0	2.9788659194126077	
PositiveTail 8	52.0	-36.0	4.0	3.1589613229394584	4312
PositiveTail 8a	60.0	-24.0	4.0	3.1589613229394584	
PositiveTail 8b	58.0	-34.0	6.0	2.9788659194126077	
PositiveTail 8c	56.0	-22.0	4.0	2.9788659194126077	
PositiveTail 9	6.0	16.0	46.0	3.1589613229394584	3024
PositiveTail 9a	-6.0	8.0	46.0	2.9788659194126077	
PositiveTail 9b	0.0	14.0	50.0	2.6935091999757503	
PositiveTail 9c	-4.0	4.0	48.0	2.6935091999757503	
PositiveTail 10	58.0	0.0	-18.0	2.9788659194126077	696
PositiveTail 10a	46.0	2.0	-16.0	2.341780322956843	
PositiveTail 10b	58.0	-2.0	-12.0	2.341780322956843	
PositiveTail 10c	46.0	0.0	-20.0	1.980134425666218	
PositiveTail 11	32.0	18.0	2.0	2.9788659194126077	1288
PositiveTail 11a	34.0	28.0	4.0	2.341780322956843	
PositiveTail 11b	24.0	22.0	2.0	1.980134425666218	
PositiveTail 11c	36.0	28.0	0.0	1.980134425666218	
PositiveTail 12	-6.0	46.0	-8.0	2.9788659194126077	1192
PositiveTail 12a	4.0	42.0	-10.0	2.6935091999757503	
PositiveTail 12b	-12.0	40.0	-10.0	1.980134425666218	
PositiveTail 12c	-4.0	46.0	-4.0	1.980134425666218	
PositiveTail 13	-8.0	-54.0	38.0	2.6935091999757503	512
PositiveTail 14	-6.0	-40.0	38.0	2.6935091999757503	336
PositiveTail 15	-50.0	20.0	8.0	2.341780322956843	176
PositiveTail 16	10.0	10.0	4.0	2.341780322956843	264
PositiveTail 17	22.0	-8.0	-6.0	2.341780322956843	192
PositiveTail 18	-26.0	-52.0	-6.0	2.341780322956843	264
PositiveTail 18a	-26.0	-50.0	-14.0	2.341780322956843	
PositiveTail 19	32.0	-4.0	-16.0	2.341780322956843	80
PositiveTail 20	-28.0	-6.0	58.0	2.341780322956843	88
PositiveTail 21	36.0	-52.0	-16.0	2.341780322956843	128
PositiveTail 22	42.0	-76.0	22.0	2.341780322956843	248
PositiveTail 23	-30.0	-10.0	56.0	2.341780322956843	120
PositiveTail 24	-48.0	10.0	18.0	2.341780322956843	128
PositiveTail 25	-18.0	-8.0	-16.0	1.980134425666218	104
PositiveTail 26	-30.0	-14.0	56.0	1.980134425666218	80
