Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	6.0	18.0	44.0	5.008859176858961	9744
PositiveTail 1a	-4.0	16.0	52.0	3.867824168424562	
PositiveTail 1b	6.0	8.0	54.0	3.6060117936352984	
PositiveTail 1c	4.0	10.0	46.0	3.6060117936352984	
PositiveTail 2	50.0	28.0	14.0	4.7153487031831665	11848
PositiveTail 2a	54.0	28.0	6.0	4.4148464056777215	
PositiveTail 2b	50.0	34.0	10.0	4.158248923165699	
PositiveTail 2c	32.0	18.0	4.0	3.867824168424562	
PositiveTail 3	46.0	-64.0	-4.0	4.4148464056777215	8456
PositiveTail 3a	50.0	-52.0	20.0	3.324659255672814	
PositiveTail 3b	48.0	-66.0	10.0	3.324659255672814	
PositiveTail 3c	46.0	-66.0	2.0	3.324659255672814	
PositiveTail 4	-58.0	-22.0	6.0	4.158248923165699	6784
PositiveTail 4a	-68.0	-24.0	4.0	3.051179890086621	
PositiveTail 4b	-56.0	-16.0	-2.0	3.051179890086621	
PositiveTail 4c	-52.0	-22.0	6.0	3.051179890086621	
PositiveTail 5	-6.0	46.0	-8.0	4.158248923165699	4704
PositiveTail 5a	-12.0	40.0	-10.0	3.324659255672814	
PositiveTail 5b	4.0	44.0	-10.0	3.051179890086621	
PositiveTail 5c	-2.0	38.0	-12.0	3.051179890086621	
PositiveTail 6	-50.0	-60.0	26.0	3.867824168424562	8080
PositiveTail 6a	-56.0	-54.0	26.0	3.867824168424562	
PositiveTail 6b	-50.0	-58.0	30.0	3.867824168424562	
PositiveTail 6c	-52.0	-58.0	18.0	3.6060117936352984	
PositiveTail 7	-30.0	-8.0	56.0	3.867824168424562	2072
PositiveTail 7a	-34.0	-12.0	62.0	2.4067141192059838	
PositiveTail 7b	-34.0	0.0	56.0	2.4067141192059838	
PositiveTail 7c	-28.0	-2.0	64.0	2.062417221903324	
PositiveTail 8	-42.0	22.0	-6.0	3.867824168424562	3656
PositiveTail 8a	-34.0	24.0	-8.0	3.051179890086621	
PositiveTail 8b	-40.0	30.0	-2.0	2.742963827012888	
PositiveTail 8c	-46.0	22.0	2.0	2.4067141192059838	
PositiveTail 9	30.0	-2.0	-18.0	3.6060117936352984	3072
PositiveTail 9a	32.0	-10.0	-10.0	2.742963827012888	
PositiveTail 9b	26.0	-8.0	-18.0	2.742963827012888	
PositiveTail 9c	32.0	-8.0	-24.0	2.4067141192059838	
PositiveTail 10	2.0	56.0	24.0	3.6060117936352984	4016
PositiveTail 10a	-6.0	50.0	22.0	3.324659255672814	
PositiveTail 10b	0.0	50.0	30.0	3.324659255672814	
PositiveTail 10c	2.0	54.0	14.0	3.051179890086621	
PositiveTail 11	62.0	-24.0	4.0	3.324659255672814	4864
PositiveTail 11a	54.0	-24.0	2.0	3.324659255672814	
PositiveTail 11b	58.0	-14.0	4.0	3.051179890086621	
PositiveTail 11c	58.0	-28.0	2.0	3.051179890086621	
PositiveTail 12	-4.0	-54.0	34.0	3.324659255672814	3176
PositiveTail 12a	0.0	-52.0	42.0	2.742963827012888	
PositiveTail 12b	-8.0	-58.0	28.0	2.4067141192059838	
PositiveTail 12c	2.0	-58.0	32.0	2.4067141192059838	
PositiveTail 13	-30.0	-4.0	-18.0	3.051179890086621	1584
PositiveTail 13a	-20.0	-8.0	-18.0	2.742963827012888	
PositiveTail 13b	-30.0	0.0	-16.0	2.4067141192059838	
PositiveTail 13c	-20.0	0.0	-20.0	1.7045272581912678	
PositiveTail 14	58.0	-2.0	-16.0	3.051179890086621	2392
PositiveTail 14a	44.0	-2.0	-18.0	2.742963827012888	
PositiveTail 14b	52.0	-4.0	-18.0	2.742963827012888	
PositiveTail 14c	60.0	2.0	-12.0	2.742963827012888	
PositiveTail 15	-34.0	-50.0	-22.0	2.742963827012888	1272
PositiveTail 15a	-26.0	-50.0	-14.0	2.742963827012888	
PositiveTail 15b	-22.0	-58.0	-12.0	2.4067141192059838	
PositiveTail 15c	-34.0	-56.0	-12.0	2.062417221903324	
PositiveTail 16	34.0	-50.0	-22.0	2.742963827012888	984
PositiveTail 16a	24.0	-54.0	-22.0	2.062417221903324	
PositiveTail 16b	30.0	-50.0	-14.0	2.062417221903324	
PositiveTail 16c	34.0	-54.0	-8.0	2.062417221903324	
PositiveTail 17	12.0	6.0	4.0	2.742963827012888	1304
PositiveTail 17a	18.0	4.0	-2.0	2.4067141192059838	
PositiveTail 17b	6.0	12.0	2.0	2.062417221903324	
PositiveTail 17c	12.0	0.0	-4.0	2.062417221903324	
PositiveTail 18	34.0	-2.0	56.0	2.4067141192059838	520
PositiveTail 19	-54.0	-30.0	36.0	2.4067141192059838	200
PositiveTail 20	-44.0	-34.0	44.0	2.4067141192059838	264
PositiveTail 21	-38.0	-38.0	52.0	2.4067141192059838	832
PositiveTail 21a	-34.0	-50.0	52.0	2.4067141192059838	
PositiveTail 21b	-40.0	-32.0	52.0	2.062417221903324	
PositiveTail 21c	-36.0	-50.0	48.0	2.062417221903324	
PositiveTail 22	-6.0	-40.0	38.0	2.4067141192059838	560
PositiveTail 22a	-10.0	-36.0	44.0	2.062417221903324	
PositiveTail 22b	-4.0	-30.0	40.0	2.062417221903324	
PositiveTail 22c	-4.0	-40.0	34.0	1.7045272581912678	
PositiveTail 23	-22.0	-62.0	58.0	2.062417221903324	128
PositiveTail 24	-20.0	-70.0	50.0	2.062417221903324	936
PositiveTail 24a	-14.0	-66.0	54.0	1.7045272581912678	
PositiveTail 25	24.0	-48.0	60.0	2.062417221903324	144
PositiveTail 26	-36.0	-26.0	58.0	2.062417221903324	136
PositiveTail 27	36.0	6.0	-16.0	2.062417221903324	80
PositiveTail 28	-46.0	-34.0	14.0	2.062417221903324	200
PositiveTail 29	42.0	-76.0	22.0	2.062417221903324	192
PositiveTail 30	-48.0	10.0	16.0	2.062417221903324	80
