stage,metric,value,ci_lower,ci_upper
search,true_positives,309,,
search,false_negatives,0,,
search,false_positives,176,,
search,recall,1.0,0.9877203031821855,1
search,precision,0.6371134020618556,0.5933971276835265,0.6786746436223524
abstract,true_positives,307,,
abstract,false_negatives,2,,
abstract,false_positives,73,,
abstract,recall_in_search,0.9935275080906149,0.9767110316336969,0.9982232482063245
abstract,recall_all_meta,0.9935275080906149,0.9767110316336969,0.9982232482063245
abstract,precision,0.8078947368421052,0.765281079363214,0.8443453915560403
fulltext,true_positives,101,,
fulltext,false_negatives,5,,
fulltext,false_positives,17,,
fulltext,additional_false_negatives,3,,
fulltext,recall_in_search,0.9528301886792453,0.8942995856883567,0.9796862266086237
fulltext,recall_all_meta,0.3268608414239482,0.27696450078434837,0.38100937481275904
fulltext,precision,0.8559322033898306,0.7813544230478824,0.9080652825370739
fulltext_with_coords,true_positives,46,,
fulltext_with_coords,false_negatives,60,,
fulltext_with_coords,false_positives,3,,
fulltext_with_coords,recall_in_search,0.4339622641509434,0.3435555639981549,0.5289881717085355
fulltext_with_coords,recall_all_meta,0.1488673139158576,0.11349913568212396,0.19285909800546752
fulltext_with_coords,precision,0.9387755102040817,0.8347925657791229,0.9789602350444708
