id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10
18431500-18431500_analysis_1	0	0	0	0	0	0	0	0	1	0
18431500-18431500_analysis_3	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_5	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_6	0	0	0	0	0	0	0	0	0	0
22848759-22848759_analysis_0	0	0	0	0	0	0	0	0	0	0
22848759-22848759_analysis_1	1	0	0	0	0	0	0	0	0	0
22848759-22848759_analysis_2	0	0	0	1	0	0	0	0	0	0
22848759-22848759_analysis_3	0	0	0	0	0	0	0	0	0	0
22848759-22848759_analysis_4	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_0	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_1	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_3	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_4	1	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_5	0	0	0	0	0	0	0	0	0	0
24772075-24772075_analysis_6	0	0	0	0	0	0	0	0	0	0
25298009-25298009_analysis_0	1	0	0	0	0	0	0	0	0	0
25298009-25298009_analysis_1	0	0	0	0	0	0	0	0	0	0
25298009-25298009_analysis_2	0	0	0	0	0	0	0	0	0	0
25298009-25298009_analysis_3	0	0	0	0	0	0	0	0	0	0
25298009-25298009_analysis_4	0	0	0	0	0	0	0	0	0	0
27090501-27090501_analysis_0	0	0	0	0	1	0	0	0	0	0
27458349-27458349_analysis_0	0	0	0	0	0	0	0	0	0	0
27458349-27458349_analysis_2	0	0	0	0	0	0	0	0	0	0
27458349-27458349_analysis_3	0	0	0	0	0	0	0	0	0	0
27477020-27477020_analysis_0	0	0	0	0	0	0	0	0	0	0
27477020-27477020_analysis_1	0	0	0	0	0	0	0	0	0	0
27477020-27477020_analysis_2	0	0	0	0	0	0	0	0	0	0
27494142-27494142_analysis_0	1	0	0	0	0	0	0	0	0	0
27494142-27494142_analysis_1	0	0	0	0	0	0	0	0	0	0
27494142-27494142_analysis_4	0	0	0	0	0	0	0	0	0	0
27494142-27494142_analysis_5	0	0	0	0	0	0	0	0	0	0
29079809-29079809_analysis_0	1	0	0	0	0	0	0	0	0	0
29079809-29079809_analysis_2	0	0	0	0	0	0	0	0	0	0
29324862-29324862_analysis_4	0	0	1	0	0	0	0	0	0	0
29324862-29324862_analysis_5	0	0	0	0	0	0	0	0	0	0
30649548-30649548_analysis_0	1	0	0	0	0	0	0	0	0	0
30649548-30649548_analysis_1	0	0	0	0	0	0	0	0	0	0
30649548-30649548_analysis_2	0	0	0	0	0	0	0	0	0	0
30649548-30649548_analysis_3	2	0	0	0	0	0	0	0	0	0
30649548-30649548_analysis_5	0	0	1	0	0	0	0	0	0	0
30834300-30834300_analysis_2	0	0	0	0	0	0	0	0	0	0
