Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-2.0	54.0	-4.0	3.5786019030059273	4664
PositiveTail 1a	0.0	46.0	-2.0	3.05507153194584	
PositiveTail 1b	2.0	58.0	-4.0	3.05507153194584	
PositiveTail 1c	2.0	46.0	-6.0	3.05507153194584	
PositiveTail 2	-50.0	10.0	28.0	2.4478144047927515	672
PositiveTail 2a	-46.0	2.0	30.0	1.9055560177652522	
PositiveTail 3	-30.0	-10.0	60.0	2.4478144047927515	784
PositiveTail 4	-22.0	-62.0	52.0	2.4478144047927515	1008
PositiveTail 4a	-16.0	-62.0	58.0	2.4478144047927515	
PositiveTail 4b	-10.0	-68.0	52.0	2.4478144047927515	
PositiveTail 4c	-24.0	-62.0	48.0	1.9055560177652522	
PositiveTail 5	12.0	10.0	-6.0	2.4478144047927515	232
PositiveTail 6	-34.0	-54.0	52.0	1.9055560177652522	136
PositiveTail 7	-10.0	8.0	44.0	1.9055560177652522	96
PositiveTail 8	-8.0	8.0	52.0	1.9055560177652522	184
PositiveTail 9	8.0	-50.0	42.0	1.9055560177652522	304
PositiveTail 10	12.0	-44.0	38.0	1.9055560177652522	104
