Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-52.0	-52.0	18.0	5.575365752123736	10200
PositiveTail 1a	-48.0	-56.0	24.0	4.992109603022474	
PositiveTail 1b	-54.0	-56.0	12.0	4.527813242286148	
PositiveTail 1c	-48.0	-58.0	32.0	4.270592382392712	
PositiveTail 2	2.0	58.0	20.0	4.775516832531518	14792
PositiveTail 2a	-2.0	54.0	-6.0	4.270592382392712	
PositiveTail 2b	2.0	56.0	24.0	4.270592382392712	
PositiveTail 2c	0.0	50.0	18.0	4.270592382392712	
PositiveTail 3	-2.0	-60.0	30.0	4.527813242286148	4816
PositiveTail 3a	-2.0	-62.0	40.0	3.7433283694870343	
PositiveTail 3b	-4.0	-52.0	28.0	3.4781561896965623	
PositiveTail 3c	2.0	-58.0	38.0	3.4781561896965623	
PositiveTail 4	56.0	-46.0	18.0	4.270592382392712	6592
PositiveTail 4a	54.0	-42.0	8.0	3.7433283694870343	
PositiveTail 4b	58.0	-38.0	16.0	3.19224756760073	
PositiveTail 4c	50.0	-46.0	0.0	3.19224756760073	
PositiveTail 5	46.0	-64.0	-4.0	4.270592382392712	3112
PositiveTail 5a	46.0	-72.0	2.0	3.19224756760073	
PositiveTail 5b	46.0	-66.0	-10.0	3.19224756760073	
PositiveTail 5c	42.0	-74.0	-4.0	2.895253002978765	
PositiveTail 6	40.0	18.0	-2.0	4.270592382392712	6672
PositiveTail 6a	32.0	20.0	0.0	3.4781561896965623	
PositiveTail 6b	52.0	20.0	6.0	3.19224756760073	
PositiveTail 6c	32.0	16.0	0.0	3.19224756760073	
PositiveTail 7	-42.0	22.0	-2.0	4.270592382392712	5512
PositiveTail 7a	-34.0	24.0	-6.0	3.9987508429392284	
PositiveTail 7b	-38.0	18.0	-10.0	3.4781561896965623	
PositiveTail 7c	-42.0	30.0	12.0	3.19224756760073	
PositiveTail 8	32.0	-48.0	-16.0	4.270592382392712	5336
PositiveTail 8a	24.0	-48.0	-12.0	3.9987508429392284	
PositiveTail 8b	22.0	-48.0	-20.0	3.7433283694870343	
PositiveTail 8c	28.0	-46.0	-10.0	3.7433283694870343	
PositiveTail 9	0.0	14.0	50.0	3.9987508429392284	5592
PositiveTail 9a	0.0	6.0	48.0	3.7433283694870343	
PositiveTail 9b	0.0	14.0	46.0	3.4781561896965623	
PositiveTail 9c	-4.0	6.0	54.0	3.4781561896965623	
PositiveTail 10	-40.0	-46.0	52.0	3.7433283694870343	3088
PositiveTail 10a	-40.0	-40.0	58.0	3.7433283694870343	
PositiveTail 10b	-40.0	-32.0	52.0	2.895253002978765	
PositiveTail 10c	-38.0	-40.0	62.0	2.588292937022917	
PositiveTail 11	58.0	0.0	-18.0	3.7433283694870343	2584
PositiveTail 11a	46.0	4.0	-22.0	2.259217146267592	
PositiveTail 11b	48.0	-6.0	-18.0	2.259217146267592	
PositiveTail 11c	50.0	4.0	-20.0	2.259217146267592	
PositiveTail 12	12.0	12.0	-4.0	3.7433283694870343	3728
PositiveTail 12a	4.0	10.0	0.0	3.4781561896965623	
PositiveTail 12b	8.0	10.0	-10.0	2.895253002978765	
PositiveTail 12c	-6.0	10.0	0.0	2.895253002978765	
PositiveTail 13	-58.0	-22.0	6.0	3.4781561896965623	2800
PositiveTail 13a	-56.0	-18.0	-2.0	3.19224756760073	
PositiveTail 13b	-52.0	-14.0	6.0	2.895253002978765	
PositiveTail 13c	-54.0	-22.0	8.0	2.895253002978765	
PositiveTail 14	-28.0	-6.0	58.0	3.4781561896965623	1488
PositiveTail 14a	-34.0	-14.0	60.0	2.259217146267592	
PositiveTail 14b	-28.0	-4.0	48.0	2.259217146267592	
PositiveTail 14c	-26.0	-14.0	62.0	2.259217146267592	
PositiveTail 15	-30.0	-56.0	-20.0	3.4781561896965623	2624
PositiveTail 15a	-26.0	-50.0	-14.0	2.588292937022917	
PositiveTail 15b	-28.0	-48.0	-22.0	2.588292937022917	
PositiveTail 15c	-22.0	-56.0	-20.0	2.588292937022917	
PositiveTail 16	44.0	16.0	26.0	3.19224756760073	1216
PositiveTail 16a	50.0	20.0	22.0	2.588292937022917	
PositiveTail 16b	42.0	8.0	34.0	2.259217146267592	
PositiveTail 16c	46.0	10.0	22.0	2.259217146267592	
PositiveTail 17	58.0	-20.0	2.0	3.19224756760073	1376
PositiveTail 17a	54.0	-14.0	-2.0	2.588292937022917	
PositiveTail 17b	58.0	-20.0	8.0	2.588292937022917	
PositiveTail 17c	56.0	-16.0	-2.0	2.588292937022917	
PositiveTail 18	-46.0	-66.0	-2.0	2.895253002978765	480
PositiveTail 18a	-54.0	-68.0	0.0	1.9188654017227362	
PositiveTail 19	-48.0	-68.0	8.0	2.588292937022917	120
PositiveTail 20	22.0	-56.0	56.0	2.588292937022917	656
PositiveTail 20a	20.0	-64.0	58.0	2.259217146267592	
PositiveTail 20b	26.0	-60.0	54.0	2.259217146267592	
PositiveTail 21	-58.0	-44.0	34.0	2.588292937022917	856
PositiveTail 21a	-54.0	-50.0	40.0	2.588292937022917	
PositiveTail 21b	-54.0	-42.0	34.0	2.588292937022917	
PositiveTail 22	48.0	-44.0	44.0	2.588292937022917	456
PositiveTail 23	-16.0	-62.0	60.0	2.588292937022917	136
PositiveTail 23a	-24.0	-58.0	56.0	2.259217146267592	
PositiveTail 24	8.0	-78.0	48.0	2.259217146267592	200
PositiveTail 25	26.0	-2.0	-20.0	2.259217146267592	248
PositiveTail 26	26.0	-2.0	58.0	2.259217146267592	112
PositiveTail 27	-58.0	-8.0	-12.0	2.259217146267592	456
PositiveTail 27a	-50.0	-2.0	-10.0	1.9188654017227362	
