Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-2.0	54.0	-10.0	2.758570089424203	2136
PositiveTail 1a	2.0	54.0	0.0	2.553649906568981	
PositiveTail 1b	-4.0	46.0	-4.0	2.246735931676412	
PositiveTail 1c	-10.0	54.0	-8.0	2.246735931676412	
PositiveTail 2	-50.0	-56.0	14.0	2.758570089424203	1480
PositiveTail 2a	-56.0	-52.0	18.0	2.730961750871091	
PositiveTail 2b	-52.0	-56.0	10.0	2.553649906568981	
PositiveTail 2c	-50.0	-48.0	16.0	2.553649906568981	
PositiveTail 3	-40.0	-42.0	52.0	2.758570089424203	1792
PositiveTail 3a	-42.0	-34.0	58.0	2.730961750871091	
PositiveTail 3b	-40.0	-46.0	52.0	2.730961750871091	
PositiveTail 3c	-46.0	-36.0	56.0	2.553649906568981	
PositiveTail 4	-36.0	26.0	-8.0	2.758570089424203	1448
PositiveTail 4a	-38.0	18.0	-10.0	2.553649906568981	
PositiveTail 4b	-40.0	18.0	0.0	2.246735931676412	
PositiveTail 4c	-34.0	24.0	0.0	2.246735931676412	
PositiveTail 5	58.0	0.0	-16.0	2.758570089424203	1008
PositiveTail 6	0.0	46.0	24.0	2.730961750871091	1520
PositiveTail 6a	2.0	56.0	24.0	2.730961750871091	
PositiveTail 6b	4.0	54.0	14.0	2.553649906568981	
PositiveTail 6c	-2.0	54.0	20.0	2.246735931676412	
PositiveTail 7	-32.0	-8.0	60.0	2.730961750871091	1080
PositiveTail 7a	-28.0	-2.0	54.0	2.246735931676412	
PositiveTail 8	48.0	-60.0	4.0	2.553649906568981	128
PositiveTail 9	44.0	14.0	32.0	2.553649906568981	944
PositiveTail 9a	50.0	18.0	24.0	2.246735931676412	
PositiveTail 9b	50.0	14.0	32.0	2.246735931676412	
PositiveTail 9c	52.0	20.0	26.0	2.246735931676412	
PositiveTail 10	46.0	-62.0	-4.0	2.553649906568981	280
PositiveTail 10a	38.0	-64.0	0.0	2.246735931676412	
PositiveTail 10b	50.0	-62.0	-2.0	2.246735931676412	
PositiveTail 10c	38.0	-64.0	-4.0	1.9214838084155283	
PositiveTail 11	-4.0	6.0	54.0	2.553649906568981	1896
PositiveTail 11a	8.0	24.0	42.0	2.553649906568981	
PositiveTail 11b	6.0	16.0	46.0	2.553649906568981	
PositiveTail 11c	0.0	18.0	40.0	2.553649906568981	
PositiveTail 12	-60.0	-22.0	2.0	2.553649906568981	584
PositiveTail 13	-4.0	40.0	16.0	2.246735931676412	472
PositiveTail 14	32.0	18.0	0.0	2.246735931676412	96
PositiveTail 15	-50.0	-58.0	24.0	2.246735931676412	160
PositiveTail 15a	-48.0	-58.0	32.0	1.9214838084155283	
PositiveTail 16	-58.0	-24.0	12.0	2.246735931676412	136
PositiveTail 17	50.0	20.0	8.0	2.246735931676412	128
PositiveTail 18	50.0	-20.0	0.0	2.246735931676412	88
PositiveTail 19	-8.0	16.0	56.0	2.246735931676412	192
PositiveTail 20	-52.0	10.0	28.0	1.9214838084155283	168
PositiveTail 21	-54.0	-4.0	-10.0	1.9214838084155283	104
PositiveTail 22	56.0	-46.0	20.0	1.9214838084155283	112
