Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	2.0	56.0	22.0	3.124128150245071	11824
PositiveTail 1a	0.0	56.0	-8.0	3.124128150245071	
PositiveTail 1b	0.0	50.0	18.0	3.124128150245071	
PositiveTail 1c	4.0	54.0	-2.0	3.124128150245071	
PositiveTail 2	58.0	0.0	-16.0	3.124128150245071	2848
PositiveTail 2a	44.0	0.0	-18.0	2.3104582137140026	
PositiveTail 2b	54.0	-10.0	-16.0	1.9919322534234936	
PositiveTail 2c	48.0	0.0	-16.0	1.9919322534234936	
PositiveTail 3	-52.0	-56.0	18.0	3.124128150245071	5072
PositiveTail 3a	-54.0	-52.0	26.0	3.0112406984727746	
PositiveTail 3b	-48.0	-58.0	26.0	2.81175904591212	
PositiveTail 3c	-50.0	-54.0	14.0	2.81175904591212	
PositiveTail 4	-42.0	22.0	-6.0	3.124128150245071	3320
PositiveTail 4a	-34.0	24.0	-6.0	2.81175904591212	
PositiveTail 4b	-38.0	18.0	-10.0	2.81175904591212	
PositiveTail 4c	-40.0	22.0	-18.0	2.5671210786831704	
PositiveTail 5	4.0	-58.0	32.0	3.0112406984727746	3240
PositiveTail 5a	0.0	-62.0	26.0	2.5671210786831704	
PositiveTail 5b	0.0	-54.0	38.0	2.3104582137140026	
PositiveTail 5c	-2.0	-62.0	40.0	2.3104582137140026	
PositiveTail 6	14.0	12.0	-2.0	2.81175904591212	1776
PositiveTail 6a	4.0	12.0	0.0	2.5671210786831704	
PositiveTail 6b	14.0	8.0	2.0	2.5671210786831704	
PositiveTail 6c	8.0	14.0	-2.0	2.3104582137140026	
PositiveTail 7	-4.0	16.0	52.0	2.81175904591212	5168
PositiveTail 7a	2.0	8.0	48.0	2.5671210786831704	
PositiveTail 7b	-8.0	16.0	56.0	2.5671210786831704	
PositiveTail 7c	-4.0	6.0	54.0	2.5671210786831704	
PositiveTail 8	-58.0	-22.0	6.0	2.81175904591212	1552
PositiveTail 8a	-56.0	-14.0	8.0	1.9919322534234936	
PositiveTail 8b	-56.0	-18.0	-2.0	1.9919322534234936	
PositiveTail 8c	-56.0	-16.0	6.0	1.9919322534234936	
PositiveTail 9	32.0	-46.0	-18.0	2.5671210786831704	2472
PositiveTail 9a	26.0	-44.0	-10.0	2.3104582137140026	
PositiveTail 9b	26.0	-44.0	-20.0	2.3104582137140026	
PositiveTail 9c	24.0	-48.0	-12.0	2.3104582137140026	
PositiveTail 10	-32.0	-6.0	56.0	2.5671210786831704	1096
PositiveTail 10a	-34.0	-14.0	60.0	1.9919322534234936	
PositiveTail 10b	-24.0	-4.0	54.0	1.9919322534234936	
PositiveTail 10c	-28.0	-14.0	62.0	1.6525582464982425	
PositiveTail 11	52.0	20.0	6.0	2.5671210786831704	1080
PositiveTail 11a	52.0	26.0	12.0	2.3104582137140026	
PositiveTail 11b	56.0	20.0	4.0	2.3104582137140026	
PositiveTail 11c	48.0	32.0	12.0	1.9919322534234936	
PositiveTail 12	-40.0	-42.0	52.0	2.5671210786831704	1464
PositiveTail 12a	-42.0	-32.0	58.0	2.3104582137140026	
PositiveTail 12b	-40.0	-46.0	50.0	2.3104582137140026	
PositiveTail 12c	-40.0	-40.0	56.0	2.3104582137140026	
PositiveTail 13	50.0	20.0	22.0	2.5671210786831704	1312
PositiveTail 13a	44.0	14.0	32.0	2.3104582137140026	
PositiveTail 13b	50.0	16.0	24.0	2.3104582137140026	
PositiveTail 13c	52.0	20.0	32.0	2.3104582137140026	
PositiveTail 14	46.0	-64.0	-4.0	2.5671210786831704	1776
PositiveTail 14a	50.0	-66.0	6.0	2.5671210786831704	
PositiveTail 14b	42.0	-68.0	8.0	1.9919322534234936	
PositiveTail 14c	48.0	-72.0	4.0	1.9919322534234936	
PositiveTail 15	32.0	18.0	0.0	2.3104582137140026	584
PositiveTail 15a	40.0	16.0	0.0	1.6525582464982425	
PositiveTail 16	30.0	-2.0	-18.0	2.3104582137140026	488
PositiveTail 16a	40.0	-2.0	-16.0	1.9919322534234936	
PositiveTail 16b	24.0	-2.0	-18.0	1.6525582464982425	
PositiveTail 16c	36.0	-2.0	-14.0	1.6525582464982425	
PositiveTail 17	-32.0	-46.0	-22.0	2.3104582137140026	504
PositiveTail 17a	-28.0	-56.0	-20.0	1.9919322534234936	
PositiveTail 17b	-36.0	-50.0	-28.0	1.6525582464982425	
PositiveTail 17c	-28.0	-60.0	-18.0	1.6525582464982425	
PositiveTail 18	50.0	-24.0	10.0	2.3104582137140026	440
PositiveTail 18a	52.0	-22.0	2.0	2.3104582137140026	
PositiveTail 18b	58.0	-20.0	8.0	1.9919322534234936	
PositiveTail 19	54.0	-46.0	16.0	2.3104582137140026	1648
PositiveTail 19a	58.0	-36.0	18.0	2.3104582137140026	
PositiveTail 19b	52.0	-50.0	20.0	1.9919322534234936	
PositiveTail 19c	54.0	-40.0	16.0	1.9919322534234936	
PositiveTail 20	-4.0	-28.0	40.0	1.9919322534234936	80
PositiveTail 21	-52.0	2.0	-28.0	1.9919322534234936	216
PositiveTail 22	-58.0	-44.0	34.0	1.9919322534234936	128
PositiveTail 23	-10.0	32.0	46.0	1.9919322534234936	240
PositiveTail 24	-54.0	-4.0	-10.0	1.6525582464982425	112
PositiveTail 25	-36.0	-34.0	62.0	1.6525582464982425	120
