id	PositiveTail 1	PositiveTail 2	PositiveTail 3
18431500-18431500_analysis_2	0	0	0
18431500-18431500_analysis_3	0	0	1
18431500-18431500_analysis_4	0	0	0
18431500-18431500_analysis_5	0	0	0
22590530-22590530_analysis_0	0	0	0
22590530-22590530_analysis_1	0	0	0
22590530-22590530_analysis_10	0	0	0
22590530-22590530_analysis_11	0	0	0
22590530-22590530_analysis_12	0	0	0
22590530-22590530_analysis_13	0	0	0
22590530-22590530_analysis_14	0	0	0
22590530-22590530_analysis_15	0	0	0
22590530-22590530_analysis_2	0	0	0
22590530-22590530_analysis_3	0	0	0
22590530-22590530_analysis_4	0	0	0
22590530-22590530_analysis_5	0	0	0
22848759-22848759_analysis_0	0	0	0
22848759-22848759_analysis_1	0	0	0
22848759-22848759_analysis_2	0	0	0
22848759-22848759_analysis_3	0	0	0
22848759-22848759_analysis_4	0	0	0
25298009-25298009_analysis_0	1	0	0
25298009-25298009_analysis_1	0	0	0
25298009-25298009_analysis_2	0	0	0
25298009-25298009_analysis_3	0	0	0
25298009-25298009_analysis_4	0	0	0
27090501-27090501_analysis_0	0	0	0
27477020-27477020_analysis_0	0	0	0
27477020-27477020_analysis_1	0	0	0
27494142-27494142_analysis_0	1	0	0
27494142-27494142_analysis_1	0	0	0
27494142-27494142_analysis_3	0	0	0
27494142-27494142_analysis_4	0	0	0
27494142-27494142_analysis_5	0	0	0
28855682-28855682_analysis_0	0	0	0
28855682-28855682_analysis_1	0	0	0
29079809-29079809_analysis_0	1	0	0
29079809-29079809_analysis_1	0	0	0
29079809-29079809_analysis_2	0	0	0
29324862-29324862_analysis_0	0	0	0
29324862-29324862_analysis_3	0	0	0
29324862-29324862_analysis_4	0	0	0
29324862-29324862_analysis_5	0	0	0
29813018-29813018_analysis_13	0	0	0
29813018-29813018_analysis_3	0	0	0
29813018-29813018_analysis_5	0	0	0
30649548-30649548_analysis_0	1	0	0
30649548-30649548_analysis_1	0	0	0
30649548-30649548_analysis_3	1	0	0
30649548-30649548_analysis_5	0	0	0
31680152-31680152_analysis_0	0	0	0
31680152-31680152_analysis_1	0	0	0
31680152-31680152_analysis_2	0	2	0
31680152-31680152_analysis_3	0	0	0
31680152-31680152_analysis_4	0	0	0
