Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	46.0	-64.0	-4.0	5.649620426823383	22040
PositiveTail 1a	44.0	-72.0	-2.0	4.358768647244466	
PositiveTail 1b	52.0	-4.0	-16.0	4.1118529280480685	
PositiveTail 1c	50.0	-52.0	20.0	4.1118529280480685	
PositiveTail 2	2.0	18.0	44.0	5.649620426823383	9144
PositiveTail 2a	4.0	26.0	42.0	4.358768647244466	
PositiveTail 2b	6.0	18.0	32.0	3.8689706485513473	
PositiveTail 2c	0.0	10.0	46.0	3.8689706485513473	
PositiveTail 3	52.0	26.0	16.0	5.619004424951951	16488
PositiveTail 3a	44.0	22.0	2.0	5.240016305618625	
PositiveTail 3b	54.0	28.0	6.0	5.240016305618625	
PositiveTail 3c	50.0	32.0	12.0	4.807570517418485	
PositiveTail 4	-50.0	-56.0	26.0	5.009796937762472	18376
PositiveTail 4a	-52.0	-56.0	18.0	4.807570517418485	
PositiveTail 4b	-56.0	-28.0	4.0	4.807570517418485	
PositiveTail 4c	-54.0	-58.0	32.0	4.358768647244466	
PositiveTail 5	-40.0	22.0	-4.0	4.807570517418485	7112
PositiveTail 5a	-46.0	26.0	2.0	3.04941208199935	
PositiveTail 5b	-42.0	32.0	20.0	3.04941208199935	
PositiveTail 5c	-44.0	20.0	6.0	2.7577411175762943	
PositiveTail 6	-2.0	38.0	-12.0	4.807570517418485	13432
PositiveTail 6a	-6.0	46.0	-8.0	4.807570517418485	
PositiveTail 6b	-2.0	48.0	30.0	4.358768647244466	
PositiveTail 6c	2.0	42.0	-10.0	4.358768647244466	
PositiveTail 7	-26.0	-6.0	-16.0	4.5717274144297235	3152
PositiveTail 7a	-28.0	0.0	-22.0	3.04941208199935	
PositiveTail 7b	-20.0	0.0	-12.0	2.7577411175762943	
PositiveTail 7c	-32.0	-12.0	-16.0	2.1530872022558762	
PositiveTail 8	-2.0	-56.0	34.0	4.358768647244466	5024
PositiveTail 8a	-8.0	-58.0	28.0	3.04941208199935	
PositiveTail 8b	-6.0	-40.0	42.0	3.04941208199935	
PositiveTail 8c	-4.0	-56.0	42.0	2.7577411175762943	
PositiveTail 9	26.0	-8.0	-18.0	4.1118529280480685	3200
PositiveTail 9a	22.0	-6.0	-10.0	3.04941208199935	
PositiveTail 9b	26.0	-10.0	-24.0	2.7577411175762943	
PositiveTail 9c	32.0	-10.0	-10.0	2.4556766538591575	
PositiveTail 10	12.0	8.0	2.0	4.1118529280480685	3480
PositiveTail 10a	18.0	4.0	-2.0	3.04941208199935	
PositiveTail 10b	-12.0	12.0	4.0	2.7577411175762943	
PositiveTail 10c	2.0	14.0	-2.0	2.7577411175762943	
PositiveTail 11	-30.0	-8.0	56.0	3.6065008248847583	1016
PositiveTail 12	-4.0	-80.0	0.0	3.335536574802783	2112
PositiveTail 12a	4.0	-84.0	8.0	2.7577411175762943	
PositiveTail 12b	0.0	-78.0	2.0	2.7577411175762943	
PositiveTail 12c	-2.0	-86.0	4.0	2.7577411175762943	
PositiveTail 13	-40.0	-82.0	0.0	3.335536574802783	1848
PositiveTail 13a	-46.0	-72.0	-2.0	3.04941208199935	
PositiveTail 13b	-40.0	-78.0	4.0	3.04941208199935	
PositiveTail 13c	-36.0	-82.0	-2.0	2.7577411175762943	
PositiveTail 14	-22.0	-52.0	-10.0	3.04941208199935	1944
PositiveTail 14a	-34.0	-56.0	-14.0	3.04941208199935	
PositiveTail 14b	-22.0	-56.0	-10.0	3.04941208199935	
PositiveTail 14c	-36.0	-60.0	-16.0	2.7577411175762943	
PositiveTail 15	-36.0	-42.0	42.0	3.04941208199935	2352
PositiveTail 15a	-36.0	-50.0	44.0	3.04941208199935	
PositiveTail 15b	-34.0	-42.0	46.0	2.7577411175762943	
PositiveTail 15c	-36.0	-52.0	48.0	2.7577411175762943	
PositiveTail 16	-58.0	-30.0	26.0	3.04941208199935	304
PositiveTail 17	34.0	-2.0	58.0	3.04941208199935	1176
PositiveTail 17a	44.0	-2.0	52.0	2.4556766538591575	
PositiveTail 18	-54.0	-30.0	36.0	2.7577411175762943	216
PositiveTail 18a	-52.0	-22.0	36.0	1.8425862735335978	
PositiveTail 19	-48.0	-58.0	-16.0	2.7577411175762943	440
PositiveTail 19a	-40.0	-54.0	-22.0	2.4556766538591575	
PositiveTail 19b	-50.0	-60.0	-20.0	1.8425862735335978	
PositiveTail 19c	-42.0	-54.0	-18.0	1.8425862735335978	
PositiveTail 20	18.0	-88.0	-4.0	2.7577411175762943	752
PositiveTail 20a	22.0	-88.0	-14.0	2.1530872022558762	
PositiveTail 20b	24.0	-92.0	-6.0	2.1530872022558762	
PositiveTail 20c	10.0	-86.0	-2.0	1.8425862735335978	
PositiveTail 21	-34.0	-38.0	-18.0	2.1530872022558762	104
PositiveTail 22	-52.0	20.0	28.0	2.1530872022558762	192
PositiveTail 22a	-42.0	20.0	28.0	2.1530872022558762	
PositiveTail 23	-46.0	4.0	40.0	2.1530872022558762	192
PositiveTail 24	26.0	-46.0	60.0	2.1530872022558762	88
PositiveTail 25	-36.0	-26.0	58.0	2.1530872022558762	88
PositiveTail 26	-24.0	-72.0	56.0	2.1530872022558762	544
PositiveTail 26a	-22.0	-64.0	58.0	2.1530872022558762	
