Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	50.0	28.0	16.0	4.60106236167026	9960
PositiveTail 1a	54.0	28.0	6.0	4.278406114333752	
PositiveTail 1b	50.0	34.0	10.0	4.0157912999704255	
PositiveTail 1c	52.0	20.0	6.0	3.7591553011138577	
PositiveTail 2	8.0	16.0	46.0	4.60106236167026	7664
PositiveTail 2a	0.0	14.0	46.0	4.278406114333752	
PositiveTail 2b	6.0	18.0	32.0	3.1253081966816345	
PositiveTail 2c	6.0	6.0	54.0	3.1253081966816345	
PositiveTail 3	46.0	-64.0	-4.0	4.488126269882284	6832
PositiveTail 3a	54.0	-62.0	2.0	3.7591553011138577	
PositiveTail 3b	50.0	-60.0	-6.0	3.7591553011138577	
PositiveTail 3c	46.0	-68.0	2.0	3.4313360765254006	
PositiveTail 4	-58.0	-22.0	6.0	4.0157912999704255	5128
PositiveTail 4a	-52.0	-12.0	0.0	2.800831528338497	
PositiveTail 4b	-52.0	-22.0	6.0	2.800831528338497	
PositiveTail 4c	-54.0	-4.0	-6.0	2.800831528338497	
PositiveTail 5	-42.0	22.0	-6.0	3.7591553011138577	2800
PositiveTail 5a	-36.0	16.0	-6.0	3.1253081966816345	
PositiveTail 5b	-36.0	24.0	-8.0	3.1253081966816345	
PositiveTail 5c	-40.0	14.0	-6.0	2.800831528338497	
PositiveTail 6	-6.0	46.0	-8.0	3.4313360765254006	1480
PositiveTail 6a	4.0	42.0	-10.0	2.48414565154457	
PositiveTail 6b	-4.0	46.0	-4.0	2.164659209202707	
PositiveTail 6c	2.0	44.0	-16.0	1.832389699852424	
PositiveTail 7	-6.0	-40.0	42.0	3.4313360765254006	1536
PositiveTail 7a	0.0	-34.0	46.0	2.164659209202707	
PositiveTail 7b	-4.0	-40.0	34.0	1.832389699852424	
PositiveTail 7c	2.0	-34.0	40.0	1.832389699852424	
PositiveTail 8	-20.0	-6.0	-16.0	3.1253081966816345	1760
PositiveTail 9	-32.0	-6.0	56.0	3.1253081966816345	792
PositiveTail 9a	-24.0	-4.0	56.0	2.164659209202707	
PositiveTail 9b	-32.0	-10.0	62.0	1.832389699852424	
PositiveTail 10	2.0	56.0	24.0	3.1253081966816345	1776
PositiveTail 10a	0.0	50.0	30.0	2.800831528338497	
PositiveTail 10b	-6.0	50.0	22.0	2.48414565154457	
PositiveTail 10c	-4.0	48.0	30.0	2.48414565154457	
PositiveTail 11	52.0	-36.0	4.0	3.1253081966816345	4024
PositiveTail 11a	62.0	-28.0	10.0	3.1253081966816345	
PositiveTail 11b	54.0	-24.0	2.0	3.1253081966816345	
PositiveTail 11c	62.0	-24.0	4.0	3.1253081966816345	
PositiveTail 12	-40.0	-78.0	4.0	3.1253081966816345	1760
PositiveTail 12a	-48.0	-70.0	-2.0	2.800831528338497	
PositiveTail 12b	-40.0	-74.0	-2.0	2.800831528338497	
PositiveTail 12c	-46.0	-68.0	-6.0	2.48414565154457	
PositiveTail 13	-58.0	-30.0	26.0	2.800831528338497	256
PositiveTail 14	-50.0	-52.0	28.0	2.800831528338497	1960
PositiveTail 14a	-52.0	-60.0	26.0	2.800831528338497	
PositiveTail 14b	-46.0	-56.0	20.0	2.48414565154457	
PositiveTail 14c	-48.0	-58.0	28.0	2.48414565154457	
PositiveTail 15	58.0	0.0	-18.0	2.800831528338497	848
PositiveTail 15a	48.0	2.0	-16.0	2.164659209202707	
PositiveTail 15b	54.0	-4.0	-12.0	2.164659209202707	
PositiveTail 15c	60.0	2.0	-12.0	2.164659209202707	
PositiveTail 16	26.0	-8.0	-18.0	2.800831528338497	1848
PositiveTail 16a	32.0	-10.0	-10.0	2.48414565154457	
PositiveTail 16b	30.0	-2.0	-18.0	2.48414565154457	
PositiveTail 16c	30.0	-22.0	-20.0	2.164659209202707	
PositiveTail 17	34.0	-50.0	-22.0	2.800831528338497	976
PositiveTail 17a	40.0	-52.0	-16.0	2.164659209202707	
PositiveTail 17b	28.0	-54.0	-24.0	2.164659209202707	
PositiveTail 17c	22.0	-48.0	-26.0	2.164659209202707	
PositiveTail 18	42.0	-76.0	22.0	2.48414565154457	712
PositiveTail 18a	38.0	-80.0	16.0	2.164659209202707	
PositiveTail 18b	38.0	-74.0	22.0	2.164659209202707	
PositiveTail 18c	34.0	-76.0	14.0	1.832389699852424	
PositiveTail 19	-32.0	-48.0	-22.0	2.48414565154457	632
PositiveTail 19a	-26.0	-50.0	-14.0	2.48414565154457	
PositiveTail 19b	-22.0	-58.0	-12.0	2.164659209202707	
PositiveTail 19c	-34.0	-56.0	-12.0	1.832389699852424	
PositiveTail 20	18.0	-88.0	-4.0	2.48414565154457	568
PositiveTail 20a	26.0	-84.0	-10.0	2.48414565154457	
PositiveTail 21	-54.0	-30.0	36.0	2.48414565154457	144
PositiveTail 22	-22.0	-64.0	50.0	2.48414565154457	1064
PositiveTail 22a	-20.0	-64.0	58.0	2.164659209202707	
PositiveTail 22b	-22.0	-72.0	48.0	1.832389699852424	
PositiveTail 22c	-20.0	-72.0	58.0	1.832389699852424	
PositiveTail 23	20.0	6.0	0.0	2.48414565154457	120
PositiveTail 24	18.0	-84.0	36.0	2.164659209202707	144
PositiveTail 25	20.0	16.0	8.0	2.164659209202707	120
PositiveTail 26	-8.0	16.0	6.0	2.164659209202707	120
PositiveTail 27	-10.0	-52.0	36.0	2.164659209202707	216
PositiveTail 28	28.0	-90.0	-2.0	2.164659209202707	136
PositiveTail 29	32.0	2.0	54.0	2.164659209202707	184
PositiveTail 30	-48.0	-34.0	14.0	2.164659209202707	96
PositiveTail 31	38.0	-68.0	-18.0	2.164659209202707	192
PositiveTail 32	-40.0	-40.0	52.0	2.164659209202707	360
PositiveTail 32a	-38.0	-50.0	48.0	1.832389699852424	
PositiveTail 32b	-38.0	-42.0	42.0	1.832389699852424	
