Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-6.0	16.0	52.0	2.691147155668604	1184
PositiveTail 1a	-4.0	8.0	48.0	2.6298689691064023	
PositiveTail 1b	-2.0	16.0	44.0	1.7833051562927906	
PositiveTail 1c	2.0	8.0	48.0	1.7833051562927906	
PositiveTail 2	46.0	-64.0	-4.0	2.6298689691064023	104
PositiveTail 3	-8.0	52.0	-10.0	2.2339447928579137	384
PositiveTail 4	4.0	28.0	44.0	2.2339447928579137	216
PositiveTail 5	4.0	20.0	42.0	2.2339447928579137	384
PositiveTail 6	14.0	16.0	-2.0	2.2339447928579137	176
PositiveTail 7	52.0	-42.0	22.0	2.2339447928579137	152
PositiveTail 8	-38.0	24.0	-10.0	1.7833051562927906	192
