Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	6.0	16.0	46.0	4.851315359724148	7960
PositiveTail 1a	0.0	10.0	46.0	3.5868013128862346	
PositiveTail 1b	-6.0	18.0	50.0	3.2730164812576854	
PositiveTail 1c	6.0	20.0	36.0	3.2730164812576854	
PositiveTail 2	-56.0	-16.0	2.0	4.240670690954084	6832
PositiveTail 2a	-60.0	-26.0	6.0	3.8929286755392356	
PositiveTail 2b	-52.0	-12.0	0.0	3.2730164812576854	
PositiveTail 2c	-52.0	-22.0	6.0	3.2730164812576854	
PositiveTail 3	-40.0	20.0	-6.0	3.8929286755392356	3520
PositiveTail 3a	-42.0	22.0	-18.0	2.6358056281480136	
PositiveTail 3b	-40.0	12.0	-2.0	2.6358056281480136	
PositiveTail 3c	-42.0	26.0	-14.0	2.288362715772431	
PositiveTail 4	50.0	28.0	16.0	3.8929286755392356	2632
PositiveTail 4a	50.0	34.0	10.0	2.9627774476502617	
PositiveTail 4b	52.0	20.0	8.0	2.9627774476502617	
PositiveTail 4c	54.0	34.0	6.0	2.6358056281480136	
PositiveTail 5	-6.0	46.0	-8.0	3.5868013128862346	2224
PositiveTail 5a	-12.0	40.0	-10.0	2.6358056281480136	
PositiveTail 5b	4.0	42.0	-10.0	2.6358056281480136	
PositiveTail 5c	-4.0	42.0	-2.0	2.288362715772431	
PositiveTail 6	46.0	-62.0	-4.0	3.5868013128862346	11232
PositiveTail 6a	50.0	-34.0	6.0	3.5868013128862346	
PositiveTail 6b	44.0	-64.0	-2.0	3.5868013128862346	
PositiveTail 6c	54.0	-36.0	6.0	3.2730164812576854	
PositiveTail 7	58.0	0.0	-18.0	3.2730164812576854	1928
PositiveTail 7a	44.0	0.0	-18.0	2.6358056281480136	
PositiveTail 7b	58.0	-2.0	-12.0	2.6358056281480136	
PositiveTail 7c	48.0	2.0	-16.0	2.6358056281480136	
PositiveTail 8	-30.0	-10.0	56.0	3.2730164812576854	2072
PositiveTail 8a	-28.0	-2.0	64.0	2.6358056281480136	
PositiveTail 8b	-20.0	-10.0	58.0	1.9078759599363224	
PositiveTail 9	32.0	18.0	2.0	3.2730164812576854	2840
PositiveTail 9a	28.0	26.0	0.0	2.6358056281480136	
PositiveTail 9b	42.0	22.0	4.0	2.6358056281480136	
PositiveTail 9c	38.0	16.0	0.0	2.6358056281480136	
PositiveTail 10	44.0	12.0	34.0	2.9627774476502617	440
PositiveTail 11	-2.0	50.0	24.0	2.9627774476502617	1312
PositiveTail 11a	6.0	56.0	20.0	2.6358056281480136	
PositiveTail 11b	-6.0	54.0	18.0	2.288362715772431	
PositiveTail 11c	2.0	52.0	24.0	2.288362715772431	
PositiveTail 12	-20.0	-64.0	58.0	2.6358056281480136	1656
PositiveTail 12a	-16.0	-72.0	52.0	1.9078759599363224	
PositiveTail 13	-54.0	-54.0	26.0	2.6358056281480136	1216
PositiveTail 13a	-46.0	-56.0	20.0	2.6358056281480136	
PositiveTail 13b	-48.0	-52.0	32.0	2.288362715772431	
PositiveTail 13c	-50.0	-58.0	20.0	2.288362715772431	
PositiveTail 14	-6.0	-40.0	42.0	2.6358056281480136	272
PositiveTail 15	20.0	6.0	0.0	2.6358056281480136	680
PositiveTail 15a	16.0	18.0	2.0	2.288362715772431	
PositiveTail 15b	14.0	2.0	0.0	1.9078759599363224	
PositiveTail 15c	18.0	10.0	6.0	1.9078759599363224	
PositiveTail 16	-40.0	-74.0	4.0	2.288362715772431	80
PositiveTail 17	42.0	-76.0	22.0	2.288362715772431	248
PositiveTail 18	32.0	-4.0	-16.0	2.288362715772431	104
PositiveTail 19	20.0	18.0	4.0	2.288362715772431	96
PositiveTail 20	28.0	-90.0	-2.0	2.288362715772431	128
PositiveTail 21	22.0	-8.0	-6.0	2.288362715772431	192
PositiveTail 22	-48.0	-64.0	4.0	2.288362715772431	144
PositiveTail 22a	-40.0	-66.0	8.0	2.288362715772431	
PositiveTail 23	48.0	14.0	22.0	2.288362715772431	176
PositiveTail 24	-34.0	-26.0	54.0	2.288362715772431	168
PositiveTail 25	-36.0	-34.0	52.0	2.288362715772431	112
PositiveTail 26	26.0	-54.0	-8.0	2.288362715772431	232
PositiveTail 27	-6.0	-52.0	38.0	2.288362715772431	192
