Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	4.0	18.0	44.0	5.130524787311696	9552
PositiveTail 1a	-4.0	16.0	52.0	3.8490637803090366	
PositiveTail 1b	4.0	26.0	40.0	3.5460427648852035	
PositiveTail 1c	2.0	8.0	48.0	3.5460427648852035	
PositiveTail 2	50.0	28.0	14.0	5.019541596944777	11792
PositiveTail 2a	52.0	32.0	6.0	3.8490637803090366	
PositiveTail 2b	52.0	20.0	6.0	3.5460427648852035	
PositiveTail 2c	32.0	22.0	2.0	3.5460427648852035	
PositiveTail 3	46.0	-64.0	-4.0	4.741423487721224	10264
PositiveTail 3a	50.0	-52.0	20.0	3.5460427648852035	
PositiveTail 3b	50.0	-64.0	8.0	3.2504131390266426	
PositiveTail 3c	50.0	-56.0	4.0	3.2504131390266426	
PositiveTail 4	-30.0	-8.0	56.0	4.122724967782874	2984
PositiveTail 4a	-28.0	0.0	64.0	2.6522530877727983	
PositiveTail 4b	-32.0	2.0	54.0	2.3438667002080784	
PositiveTail 4c	-24.0	0.0	60.0	2.3438667002080784	
PositiveTail 5	-48.0	-58.0	34.0	3.8490637803090366	6272
PositiveTail 5a	-50.0	-52.0	28.0	3.5460427648852035	
PositiveTail 5b	-48.0	-64.0	32.0	3.5460427648852035	
PositiveTail 5c	-52.0	-58.0	18.0	3.2504131390266426	
PositiveTail 6	-42.0	22.0	-6.0	3.8490637803090366	3712
PositiveTail 6a	-34.0	24.0	-8.0	3.2504131390266426	
PositiveTail 6b	-46.0	24.0	-8.0	2.6522530877727983	
PositiveTail 6c	-40.0	22.0	-18.0	2.3438667002080784	
PositiveTail 7	-58.0	-22.0	6.0	3.5460427648852035	5456
PositiveTail 7a	-58.0	-30.0	26.0	2.9612497828416604	
PositiveTail 7b	-54.0	-22.0	12.0	2.9612497828416604	
PositiveTail 7c	-54.0	-4.0	-6.0	2.6522530877727983	
PositiveTail 8	2.0	56.0	24.0	3.2504131390266426	2552
PositiveTail 8a	0.0	50.0	30.0	2.9612497828416604	
PositiveTail 8b	-6.0	50.0	22.0	2.6522530877727983	
PositiveTail 8c	-4.0	48.0	30.0	2.6522530877727983	
PositiveTail 9	-6.0	-40.0	42.0	3.2504131390266426	2160
PositiveTail 9a	-8.0	-32.0	46.0	2.6522530877727983	
PositiveTail 9b	2.0	-32.0	42.0	2.6522530877727983	
PositiveTail 9c	2.0	-42.0	40.0	2.3438667002080784	
PositiveTail 10	-6.0	46.0	-8.0	3.2504131390266426	2216
PositiveTail 10a	-12.0	40.0	-8.0	2.9612497828416604	
PositiveTail 10b	-2.0	38.0	-12.0	2.6522530877727983	
PositiveTail 10c	-4.0	46.0	-14.0	2.6522530877727983	
PositiveTail 11	58.0	0.0	-18.0	2.9612497828416604	2096
PositiveTail 11a	54.0	-4.0	-12.0	2.6522530877727983	
PositiveTail 11b	56.0	-4.0	-20.0	2.3438667002080784	
PositiveTail 11c	44.0	0.0	-18.0	2.3438667002080784	
PositiveTail 12	-26.0	-8.0	-16.0	2.9612497828416604	1864
PositiveTail 12a	-18.0	-8.0	-18.0	2.9612497828416604	
PositiveTail 12b	-26.0	-6.0	-20.0	2.6522530877727983	
PositiveTail 12c	-22.0	0.0	-12.0	2.014501419484703	
PositiveTail 13	30.0	-2.0	-18.0	2.9612497828416604	3136
PositiveTail 13a	32.0	-10.0	-10.0	2.6522530877727983	
PositiveTail 13b	28.0	-2.0	-22.0	2.6522530877727983	
PositiveTail 13c	26.0	-10.0	-24.0	2.3438667002080784	
PositiveTail 14	62.0	-28.0	10.0	2.9612497828416604	4328
PositiveTail 14a	50.0	-34.0	6.0	2.9612497828416604	
PositiveTail 14b	62.0	-24.0	4.0	2.9612497828416604	
PositiveTail 14c	52.0	-36.0	4.0	2.9612497828416604	
PositiveTail 15	-8.0	-54.0	38.0	2.9612497828416604	2312
PositiveTail 15a	2.0	-56.0	36.0	2.6522530877727983	
PositiveTail 15b	-4.0	-56.0	42.0	2.6522530877727983	
PositiveTail 15c	-6.0	-60.0	34.0	2.3438667002080784	
PositiveTail 16	-40.0	-78.0	4.0	2.9612497828416604	1936
PositiveTail 16a	-48.0	-70.0	-2.0	2.6522530877727983	
PositiveTail 16b	-38.0	-74.0	6.0	2.6522530877727983	
PositiveTail 16c	-44.0	-70.0	2.0	2.3438667002080784	
PositiveTail 17	-26.0	-50.0	-14.0	2.6522530877727983	1096
PositiveTail 17a	-34.0	-50.0	-22.0	2.3438667002080784	
PositiveTail 17b	-30.0	-52.0	-10.0	2.3438667002080784	
PositiveTail 17c	-26.0	-50.0	-18.0	2.3438667002080784	
PositiveTail 18	-54.0	-30.0	36.0	2.6522530877727983	328
PositiveTail 18a	-52.0	-22.0	32.0	1.6764629543787293	
PositiveTail 18b	-50.0	-28.0	40.0	1.6764629543787293	
PositiveTail 19	-46.0	-34.0	44.0	2.6522530877727983	480
PositiveTail 19a	-38.0	-36.0	42.0	2.014501419484703	
PositiveTail 20	14.0	6.0	0.0	2.6522530877727983	1736
PositiveTail 20a	20.0	18.0	4.0	2.014501419484703	
PositiveTail 20b	12.0	0.0	4.0	2.014501419484703	
PositiveTail 20c	14.0	2.0	-6.0	2.014501419484703	
PositiveTail 21	28.0	-52.0	-8.0	2.3438667002080784	320
PositiveTail 22	18.0	-88.0	-4.0	2.3438667002080784	1248
PositiveTail 22a	28.0	-90.0	-2.0	2.3438667002080784	
PositiveTail 22b	26.0	-80.0	-8.0	2.3438667002080784	
PositiveTail 22c	32.0	-86.0	-6.0	2.014501419484703	
PositiveTail 23	18.0	-84.0	36.0	2.3438667002080784	176
PositiveTail 24	-36.0	-26.0	58.0	2.3438667002080784	296
PositiveTail 25	-48.0	14.0	30.0	2.3438667002080784	136
PositiveTail 26	-38.0	-38.0	52.0	2.3438667002080784	824
PositiveTail 26a	-30.0	-50.0	52.0	2.014501419484703	
PositiveTail 26b	-40.0	-32.0	52.0	2.014501419484703	
PositiveTail 26c	-36.0	-50.0	48.0	2.014501419484703	
PositiveTail 27	-8.0	16.0	6.0	2.014501419484703	128
PositiveTail 28	-48.0	-34.0	14.0	2.014501419484703	96
PositiveTail 29	-20.0	-70.0	52.0	2.014501419484703	1536
PositiveTail 29a	-18.0	-64.0	58.0	2.014501419484703	
PositiveTail 29b	-20.0	-72.0	58.0	1.6764629543787293	
PositiveTail 29c	-18.0	-62.0	54.0	1.6764629543787293	
PositiveTail 30	-42.0	-32.0	54.0	2.014501419484703	88
PositiveTail 31	34.0	-2.0	54.0	2.014501419484703	376
PositiveTail 32	42.0	-76.0	22.0	2.014501419484703	192
PositiveTail 33	-4.0	-6.0	46.0	2.014501419484703	120
