stage,metric,value,ci_lower,ci_upper
search,true_positives,364,,
search,false_negatives,1,,
search,false_positives,705,,
search,recall,0.9972602739726028,0.9846460873645747,0.9995162197070787
search,precision,0.34050514499532275,0.31271380070787536,0.36943871835924524
abstract,true_positives,344,,
abstract,false_negatives,20,,
abstract,false_positives,381,,
abstract,recall_in_search,0.945054945054945,0.9166603686122696,0.9641535469426865
abstract,recall_all_meta,0.9424657534246575,0.9136499405902418,0.9620647293385296
abstract,precision,0.47448275862068967,0.4383640690700566,0.5108704422421407
fulltext,true_positives,309,,
fulltext,false_negatives,54,,
fulltext,false_positives,231,,
fulltext,additional_false_negatives,34,,
fulltext,recall_in_search,0.8512396694214877,0.8109606633285346,0.884162245305601
fulltext,recall_all_meta,0.8465753424657534,0.8060085410880671,0.879922763840661
fulltext,precision,0.5722222222222222,0.5301263577798551,0.6132977568888277
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,363,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.010472094767878016
fulltext_with_coords,recall_all_meta,0.0,0,0.010415311071202379
fulltext_with_coords,precision,0,0.0,0.0
