stage,metric,value,ci_lower,ci_upper
search,true_positives,230,,
search,false_negatives,0,,
search,false_positives,839,,
search,recall,1.0,0.9835717853452937,1
search,precision,0.21515434985968196,0.19156334588886292,0.2407852878703053
abstract,true_positives,229,,
abstract,false_negatives,1,,
abstract,false_positives,496,,
abstract,recall_in_search,0.9956521739130435,0.9757868782595205,0.9992321089523359
abstract,recall_all_meta,0.9956521739130435,0.9757868782595205,0.9992321089523359
abstract,precision,0.3158620689655172,0.28306974111803723,0.3505955161889002
fulltext,true_positives,223,,
fulltext,false_negatives,6,,
fulltext,false_positives,317,,
fulltext,additional_false_negatives,5,,
fulltext,recall_in_search,0.9737991266375546,0.9440260882227658,0.9879379594388205
fulltext,recall_all_meta,0.9695652173913043,0.9385212963728774,0.9851809020383547
fulltext,precision,0.412962962962963,0.3721915259565415,0.4549640281606868
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,229,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.016498769979247693
fulltext_with_coords,recall_all_meta,0.0,0,0.01642821465470643
fulltext_with_coords,precision,0,0.0,0.0
