stage,metric,value,ci_lower,ci_upper
search,true_positives,336,,
search,false_negatives,29,,
search,false_positives,110,,
search,recall,0.9205479452054794,0.8882222268993474,0.9441133881722714
search,precision,0.7533632286995515,0.7113064954821708,0.7910925712115273
abstract,true_positives,319,,
abstract,false_negatives,17,,
abstract,false_positives,42,,
abstract,recall_in_search,0.9494047619047619,0.920475047055588,0.9681742530889497
abstract,recall_all_meta,0.873972602739726,0.8359841533631623,0.9041709701370068
abstract,precision,0.8836565096952909,0.8464681500191844,0.9127654461496735
fulltext,true_positives,279,,
fulltext,false_negatives,35,,
fulltext,false_positives,20,,
fulltext,additional_false_negatives,18,,
fulltext,recall_in_search,0.8885350318471338,0.8489232602697973,0.9187547277594602
fulltext,recall_all_meta,0.7643835616438356,0.7182318380421164,0.8050280111722887
fulltext,precision,0.9331103678929766,0.8989468659217461,0.9562857045045099
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,314,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.012086523601693423
fulltext_with_coords,recall_all_meta,0.0,0,0.010415311071202379
fulltext_with_coords,precision,0,0.0,0.0
