stage,metric,value,ci_lower,ci_upper
search,true_positives,317,,
search,false_negatives,28,,
search,false_positives,129,,
search,recall,0.9188405797101449,0.885202246147097,0.9432539930170392
search,precision,0.7107623318385651,0.6670236227182337,0.7509012646198873
abstract,true_positives,300,,
abstract,false_negatives,17,,
abstract,false_positives,61,,
abstract,recall_in_search,0.9463722397476341,0.9158037465621336,0.9662514482754436
abstract,recall_all_meta,0.8695652173913043,0.8299199538080119,0.9010708454544613
abstract,precision,0.8310249307479224,0.7889294602801541,0.8661493465225788
fulltext,true_positives,275,,
fulltext,false_negatives,41,,
fulltext,false_positives,42,,
fulltext,additional_false_negatives,24,,
fulltext,recall_in_search,0.870253164556962,0.8287120904037939,0.9029000576094728
fulltext,recall_all_meta,0.7971014492753623,0.751500495871448,0.8361587741238736
fulltext,precision,0.8675078864353313,0.8257501469701094,0.9004649074368005
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,316,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.012010945417981901
fulltext_with_coords,recall_all_meta,0.0,0,0.011012448056653792
fulltext_with_coords,precision,0,0.0,0.0
